20230306-E,20230306-M,20230306-CD
254.0,91.0,1260.0
245.99999999999997,191.0,176.0
956.0,157.0,97.3
133.0,207.0,161.0
220.0,120.0,337.0
127.0,288.0,561.0
236.0,295.0,943.0
1940.0,48.9,561.0
222.0,230.0,840.0
59.099999999999994,312.0,587.0
740.0,479.0,1180.0
142.0,291.0,478.0
239.0,128.0,284.0
75.3,157.0,738.0
395.0,99.9,894.0
112.0,106.0,644.0
155.0,112.0,121.0
83.5,135.0,273.0
179.0,509.0,1340.0
787.0,165.0,837.0
118.0,130.0,236.0
121.0,117.00000000000001,183.0
270.0,120.0,628.0
293.0,38.4,946.9999999999999
93.7,66.6,177.0
118.0,113.0,492.99999999999994
109.0,180.0,1140.0
133.0,234.00000000000003,749.0
1230.0,126.0,738.0
173.0,133.0,92.2
187.0,32.8,727.0
137.0,94.60000000000001,202.0
216.0,92.3,89.5
213.0,46.5,1080.0
165.0,92.0,85.0
163.0,104.0,563.0
108.0,131.0,486.0
152.0,146.0,143.0
354.0,81.80000000000001,1160.0
105.0,159.0,751.0
107.0,132.0,233.00000000000003
162.0,174.0,153.0
143.0,32.6,1090.0
126.0,142.0,319.0
134.0,87.4,711.0
143.0,115.0,1110.0
131.0,162.0,763.0
155.0,204.0,255.0
184.0,65.8,507.0
70.1,121.0,1190.0
227.0,52.6,132.0
204.0,120.0,1959.9999999999998
108.0,118.0,975.9999999999999
158.0,37.7,425.0
142.0,113.0,134.0
162.0,36.099999999999994,739.0
230.0,121.99999999999999,737.0
195.0,60.8,290.0
63.699999999999996,145.0,96.2
53.2,135.0,72.19999999999999
161.0,37.4,207.0
142.0,112.0,503.0
160.0,96.39999999999999,568.0
111.0,55.5,1400.0
169.0,39.0,636.0
312.0,116.0,231.0
103.0,228.0,328.0
90.69999999999999,114.0,536.0
189.0,40.4,682.0
117.00000000000001,112.0,263.0
139.0,80.2,141.0
112.0,82.10000000000001,1110.0
65.4,28.099999999999998,823.0
60.8,57.4,826.0
39.800000000000004,113.0,418.0
163.0,147.0,63.199999999999996
69.5,58.3,384.0
125.00000000000001,130.0,826.0
33.699999999999996,162.0,453.0
82.10000000000001,24.0,462.0
154.0,148.0,766.0
31.599999999999998,99.0,283.0
1230.0,25.5,1100.0
245.99999999999997,259.0,171.0
52.300000000000004,122.99999999999999,193.0
63.800000000000004,47.5,797.0
136.0,148.0,81.89999999999999
149.0,37.9,421.0
111.0,183.0,289.0
173.0,74.7,94.5
82.2,170.0,470.00000000000006
46.5,34.4,362.0
237.0,111.0,850.0
539.0,128.0,41.199999999999996
58.50000000000001,136.0,350.0
80.7,58.50000000000001,568.0
174.0,30.4,204.0
58.50000000000001,102.0,692.0
28.4,34.7,814.0
382.0,83.8,35.3
138.0,244.99999999999997,398.0
300.0,135.0,887.0
69.8,153.0,36.2
19.0,163.0,32.7
116.0,58.7,459.0
89.89999999999999,308.0,365.0
115.0,26.2,32.5
176.0,98.10000000000001,534.0
101.0,94.19999999999999,1040.0
132.0,152.0,232.0
94.9,367.0,963.0000000000001
47.6,164.0,62.7
148.0,134.0,302.0
194.0,129.0,870.0
69.8,219.0,105.0
87.10000000000001,,784.0
58.7,,186.0
160.0,,98.10000000000001
94.10000000000001,,44.800000000000004
52.9,,58.800000000000004
178.0,,258.0
48.5,,539.0
49.099999999999994,,181.0
76.8,,56.199999999999996
78.60000000000001,,237.0
174.0,,43.9
203.0,,79.9
26.3,,60.400000000000006
45.4,,46.0
37.300000000000004,,568.0
113.0,,23.400000000000002
136.0,,493.99999999999994
29.6,,423.0
137.0,,550.0
25.9,,296.0
87.8,,26.2
184.0,,55.0
252.0,,544.0
149.0,,699.0
85.30000000000001,,357.0
85.2,,581.0
58.3,,720.0
82.39999999999999,,1170.0
218.0,,72.4
122.99999999999999,,567.0
79.0,,100.0
73.1,,110.0
138.0,,373.0
133.0,,521.0
85.7,,28.099999999999998
29.6,,107.0
122.99999999999999,,340.0
121.99999999999999,,505.0
144.0,,20.1
157.0,,40.1
253.0,,173.0
143.0,,647.0
122.99999999999999,,402.0
115.0,,12.3
22.7,,377.0
24.3,,169.0
40.8,,987.9999999999999
30.200000000000003,,125.00000000000001
211.0,,157.0
71.39999999999999,,331.0
125.00000000000001,,341.0
102.0,,519.0
46.9,,157.0
88.7,,453.0
19.1,,460.0
52.4,,18.7
61.8,,28.5
67.5,,450.0
168.0,,58.9
31.1,,45.1
142.0,,32.2
36.0,,777.0
42.0,,51.8
27.099999999999998,,35.800000000000004
104.0,,190.0
50.3,,17.599999999999998
67.7,,51.6
40.900000000000006,,34.7
12.4,,338.0
68.10000000000001,,269.0
49.099999999999994,,128.0
69.2,,48.5
61.6,,280.0
54.300000000000004,,255.0
42.2,,446.0
263.0,,192.0
30.700000000000003,,1000.0000000000001
104.0,,72.7
62.7,,600.0
54.300000000000004,,64.3
71.39999999999999,,63.099999999999994
36.900000000000006,,881.0
1310.0,,579.0
57.2,,48.5
129.0,,96.80000000000001
57.5,,28.099999999999998
126.0,,386.0
131.0,,502.0
170.0,,18.4
16.3,,347.0
36.5,,84.3
39.599999999999994,,461.0
447.0,,73.1
39.199999999999996,,43.300000000000004
91.9,,37.0
136.0,,485.0
41.8,,544.0
54.7,,262.0
235.00000000000003,,236.0
45.5,,348.0
55.5,,100.0
209.0,,58.7
182.0,,321.0
171.0,,38.900000000000006
38.2,,821.0
106.0,,495.00000000000006
61.3,,512.0
26.0,,496.00000000000006
182.0,,1180.0
178.0,,217.0
322.0,,170.0
32.2,,199.0
43.300000000000004,,40.8
81.30000000000001,,59.5
886.0,,898.0
778.0,,68.0
157.0,,59.89999999999999
32.6,,23.200000000000003
41.4,,33.3
25.7,,484.0
20.5,,146.0
173.0,,275.0
178.0,,30.8
48.699999999999996,,625.0
164.0,,533.0
32.2,,459.0
42.699999999999996,,37.1
189.0,,54.0
107.0,,185.0
150.0,,217.0
76.3,,112.0
103.0,,86.3
70.0,,528.0
121.0,,446.0
297.0,,34.7
35.4,,89.5
243.99999999999997,,600.0
42.9,,56.599999999999994
173.0,,543.0
153.0,,420.0
29.299999999999997,,781.0
97.9,,60.8
79.5,,830.0
155.0,,101.0
255.0,,43.599999999999994
174.0,,519.0
54.599999999999994,,55.1
146.0,,572.0
38.3,,38.8
324.0,,46.3
172.0,,297.0
96.6,,204.0
27.8,,378.0
150.0,,33.3
172.0,,242.0
151.0,,40.5
97.60000000000001,,79.4
36.6,,35.1
25.9,,43.599999999999994
33.800000000000004,,106.0
244.99999999999997,,45.4
105.0,,42.699999999999996
67.10000000000001,,138.0
41.5,,392.0
21.799999999999997,,222.0
71.3,,43.4
37.199999999999996,,187.0
33.800000000000004,,383.0
149.0,,54.7
17.1,,269.0
114.0,,305.0
52.300000000000004,,154.0
277.0,,598.0
217.0,,136.0
38.1,,26.400000000000002
188.0,,7.6
173.0,,56.300000000000004
181.0,,211.0
96.7,,32.8
229.0,,195.0
128.0,,335.0
,,114.0
,,41.4
,,433.0
,,121.99999999999999
,,217.0
,,16.1
,,55.8
,,305.0
,,56.7
,,606.0
,,179.0
,,76.6
,,92.80000000000001
,,458.0
,,448.0
,,168.0
,,157.0
,,160.0
,,16.5
,,566.0
,,44.400000000000006
,,56.599999999999994
,,50.1
,,354.0
,,249.00000000000003
,,18.4
,,236.0
,,44.800000000000004
,,167.0
,,179.0
,,664.0
,,189.0
,,27.2
,,269.0
,,99.4
,,390.0
,,565.0
,,223.0
,,41.0
,,54.9
,,793.0
,,112.0
,,674.0
,,789.0
,,143.0
,,111.0
,,435.0
,,146.0
,,578.0
,,628.0
,,43.0
,,1370.0
,,794.0
,,417.0
,,2130.0
,,279.0
,,72.10000000000001
,,48.3
