20230922-M,20230922-E,20230922-CD,20230707-M,20230707-E,20230707-CD,20230312-M,20230312-E,20230312-CD,20230306-M,20230306-E,20230306-CD
701.0,448.0,432.0,402.0,71.9,138.0,91.0,250.00000000000003,1300.0,91.0,254.0,1260.0
336.0,300.0,93.2,256.0,173.0,270.0,190.0,250.00000000000003,180.0,191.0,245.99999999999997,176.0
287.0,284.0,571.0,130.0,121.99999999999999,157.0,160.0,960.0,97.0,157.0,956.0,97.3
332.0,362.0,353.0,394.0,134.0,118.0,210.0,130.0,160.0,207.0,133.0,161.0
659.0,155.0,281.0,195.0,61.6,63.60000000000001,120.0,220.0,340.0,120.0,220.0,337.0
280.0,311.0,74.1,93.60000000000001,79.5,212.0,290.0,130.0,560.0,288.0,127.0,561.0
304.0,278.0,78.1,226.0,75.0,209.0,290.0,240.0,940.0000000000001,295.0,236.0,943.0
173.0,361.0,240.0,206.0,89.7,137.0,49.0,1900.0,560.0,48.9,1940.0,561.0
183.0,401.0,466.00000000000006,88.80000000000001,134.0,163.0,230.0,220.0,840.0,230.0,222.0,840.0
153.0,704.0,162.0,56.199999999999996,88.0,105.0,310.0,59.0,590.0,312.0,59.099999999999994,587.0
137.0,468.00000000000006,64.9,23.9,33.400000000000006,66.89999999999999,290.0,740.0,1200.0,479.0,740.0,1180.0
61.3,280.0,364.0,160.0,149.0,89.89999999999999,130.0,140.0,480.0,291.0,142.0,478.0
32.300000000000004,408.0,158.0,130.0,140.0,113.0,160.0,240.0,280.0,128.0,239.0,284.0
28.4,278.0,85.89999999999999,125.00000000000001,37.5,121.0,100.0,75.0,740.0,157.0,75.3,738.0
96.0,223.0,45.300000000000004,135.0,80.5,105.0,110.0,390.0,890.0,99.9,395.0,894.0
101.0,531.0,346.0,55.0,114.0,553.0,110.0,110.0,640.0,106.0,112.0,644.0
95.8,420.0,385.0,57.1,96.89999999999999,144.0,130.0,150.0,120.0,112.0,155.0,121.0
37.800000000000004,472.0,261.0,87.8,38.5,106.0,510.0,84.0,270.0,135.0,83.5,273.0
128.0,303.0,212.0,109.0,133.0,122.99999999999999,160.0,180.0,1300.0,509.0,179.0,1340.0
88.0,229.0,137.0,118.0,69.0,135.0,130.0,790.0,840.0,165.0,787.0,837.0
216.0,209.0,77.80000000000001,48.3,53.900000000000006,111.0,120.0,120.0,240.0,130.0,118.0,236.0
62.2,512.0,103.0,45.300000000000004,79.5,121.99999999999999,120.0,120.0,180.0,117.00000000000001,121.0,183.0
95.7,570.0,164.0,140.0,64.10000000000001,78.2,38.0,270.0,630.0,120.0,270.0,628.0
23.8,168.0,45.5,45.8,47.7,81.5,67.0,290.0,950.0,38.4,293.0,946.9999999999999
66.2,208.0,77.5,12.0,173.0,57.2,110.0,94.0,180.0,66.6,93.7,177.0
98.7,301.0,191.0,65.0,31.000000000000004,142.0,230.0,120.0,489.99999999999994,113.0,118.0,492.99999999999994
53.0,553.0,79.3,56.599999999999994,151.0,175.0,130.0,110.0,1100.0,180.0,109.0,1140.0
43.199999999999996,369.0,139.0,90.0,121.0,62.800000000000004,130.0,130.0,750.0,234.00000000000003,133.0,749.0
30.9,293.0,161.0,53.3,81.1,85.5,33.0,1200.0,740.0,126.0,1230.0,738.0
33.1,346.0,239.0,52.800000000000004,55.2,59.0,95.0,170.0,92.0,133.0,173.0,92.2
41.8,324.0,320.0,109.0,64.60000000000001,44.0,92.0,190.0,730.0,32.8,187.0,727.0
51.6,213.0,158.0,41.4,44.800000000000004,71.69999999999999,47.0,140.0,200.0,94.60000000000001,137.0,202.0
52.199999999999996,125.00000000000001,57.699999999999996,70.8,31.1,140.0,100.0,220.0,90.0,92.3,216.0,89.5
33.9,690.0,204.0,121.0,18.8,161.0,130.0,210.0,1100.0,46.5,213.0,1080.0
267.0,378.0,59.5,85.8,211.0,208.0,150.0,170.0,85.0,92.0,165.0,85.0
188.0,137.0,285.0,48.1,30.4,145.0,82.0,160.0,560.0,104.0,163.0,563.0
274.0,223.0,54.599999999999994,101.0,124.00000000000001,221.0,160.0,110.0,489.99999999999994,131.0,108.0,486.0
,97.10000000000001,144.0,38.900000000000006,94.9,205.0,130.0,150.0,140.0,146.0,152.0,143.0
,206.0,51.900000000000006,47.7,84.8,47.099999999999994,170.0,350.0,1200.0,81.80000000000001,354.0,1160.0
,774.0,288.0,487.0,108.0,76.2,33.0,100.0,750.0,159.0,105.0,751.0
,199.0,57.699999999999996,134.0,59.5,57.8,140.0,110.0,230.0,132.0,107.0,233.00000000000003
,127.0,225.0,18.0,156.0,58.4,87.0,160.0,150.0,174.0,162.0,153.0
,43.7,121.99999999999999,71.10000000000001,21.4,63.099999999999994,120.0,140.0,1100.0,32.6,143.0,1090.0
,278.0,33.1,92.80000000000001,72.10000000000001,268.0,160.0,130.0,320.0,142.0,126.0,319.0
,80.7,175.0,106.0,70.39999999999999,104.0,200.0,130.0,710.0,87.4,134.0,711.0
,78.7,41.199999999999996,35.5,63.4,85.1,66.0,140.0,1100.0,115.0,143.0,1110.0
,122.99999999999999,167.0,36.099999999999994,76.5,145.0,120.0,130.0,760.0,162.0,131.0,763.0
,173.0,65.6,86.0,31.299999999999997,45.2,53.0,150.0,260.0,204.0,155.0,255.0
,71.60000000000001,55.4,152.0,36.6,94.19999999999999,120.0,180.0,510.0,65.8,184.0,507.0
,120.0,60.5,57.6,23.0,73.1,120.0,70.0,1200.0,121.0,70.1,1190.0
,189.0,118.0,153.0,44.400000000000006,22.9,38.0,230.0,130.0,52.6,227.0,132.0
,209.0,112.0,76.2,41.5,34.0,110.0,200.0,2000.0000000000002,120.0,204.0,1959.9999999999998
,68.9,139.0,18.3,28.4,146.0,36.0,110.0,979.9999999999999,118.0,108.0,975.9999999999999
,240.0,44.800000000000004,46.800000000000004,55.8,173.0,120.0,160.0,420.0,37.7,158.0,425.0
,453.0,91.3,152.0,41.4,138.0,60.99999999999999,140.0,130.0,113.0,142.0,134.0
,165.0,55.699999999999996,140.0,20.7,52.5,150.0,160.0,740.0,36.099999999999994,162.0,739.0
,71.2,29.7,126.0,35.4,47.0,140.0,230.0,740.0,121.99999999999999,230.0,737.0
,34.5,115.0,68.10000000000001,91.3,71.10000000000001,37.0,200.0,290.0,60.8,195.0,290.0
,87.6,99.3,37.6,58.599999999999994,47.9,110.0,64.0,96.0,145.0,63.699999999999996,96.2
,81.89999999999999,284.0,37.9,38.6,195.0,96.0,53.0,72.0,135.0,53.2,72.19999999999999
,60.5,712.0,103.0,62.7,122.99999999999999,56.0,160.0,210.0,37.4,161.0,207.0
,83.0,272.0,83.6,75.5,43.4,39.0,160.0,500.00000000000006,112.0,142.0,503.0
,78.89999999999999,42.9,28.2,60.199999999999996,39.0,120.0,110.0,570.0,96.39999999999999,160.0,568.0
,135.0,44.800000000000004,16.1,63.89999999999999,51.7,230.0,170.0,1400.0,55.5,111.0,1400.0
,241.0,89.8,107.0,38.900000000000006,146.0,110.0,310.0,640.0,39.0,169.0,636.0
,61.3,54.9,50.6,109.0,46.800000000000004,40.0,100.0,230.0,116.0,312.0,231.0
,136.0,50.1,34.0,33.6,193.0,110.0,91.0,330.0,228.0,103.0,328.0
,15.2,62.50000000000001,25.7,,64.8,80.0,190.0,540.0,114.0,90.69999999999999,536.0
,38.900000000000006,360.0,67.3,,61.9,82.0,120.0,680.0,40.4,189.0,682.0
,224.0,45.1,56.5,,51.4,28.0,140.0,260.0,112.0,117.00000000000001,263.0
,144.0,77.1,7.81,,47.0,57.0,110.0,140.0,80.2,139.0,141.0
,205.0,72.0,30.0,,35.800000000000004,110.0,65.0,1100.0,82.10000000000001,112.0,1110.0
,245.99999999999997,140.0,180.0,,71.10000000000001,150.0,60.99999999999999,820.0,28.099999999999998,65.4,823.0
,86.69999999999999,49.6,83.6,,75.5,58.0,40.0,830.0,57.4,60.8,826.0
,197.0,83.0,60.99999999999999,,60.6,130.0,160.0,420.0,113.0,39.800000000000004,418.0
,41.300000000000004,32.099999999999994,49.3,,17.8,160.0,70.0,63.0,147.0,163.0,63.199999999999996
,543.0,140.0,46.3,,34.0,24.0,120.0,380.0,58.3,69.5,384.0
,259.0,63.5,52.199999999999996,,164.0,150.0,34.0,830.0,130.0,125.00000000000001,826.0
,215.0,47.9,168.0,,122.99999999999999,99.0,82.0,450.0,162.0,33.699999999999996,453.0
,73.80000000000001,449.0,38.4,,50.199999999999996,25.0,150.0,460.0,24.0,82.10000000000001,462.0
,109.0,39.599999999999994,70.6,,87.10000000000001,260.0,32.0,770.0,148.0,154.0,766.0
,244.99999999999997,81.39999999999999,42.2,,75.10000000000001,120.0,1200.0,280.0,99.0,31.599999999999998,283.0
,460.0,62.3,33.6,,72.6,48.0,250.00000000000003,1100.0,25.5,1230.0,1100.0
,98.5,58.3,24.0,,37.4,150.0,52.0,170.0,259.0,245.99999999999997,171.0
,118.0,48.5,35.9,,23.0,38.0,64.0,190.0,122.99999999999999,52.300000000000004,193.0
,651.0,45.4,85.0,,48.400000000000006,180.0,140.0,800.0,47.5,63.800000000000004,797.0
,62.2,58.800000000000004,179.0,,100.0,75.0,150.0,82.0,148.0,136.0,81.89999999999999
,93.5,102.0,48.0,,85.1,170.0,110.0,420.0,37.9,149.0,421.0
,115.0,330.0,81.1,,41.5,34.0,170.0,290.0,183.0,111.0,289.0
