Filename,Index,X Min [m],X Max [m],Contour Length [nm],Bending Length [pm],Stretch Modulus,Residual RMS [pN],Breaking Force [pN],Critical Loading Rate [N/s]
force-save-2023.03.06-16.03.13.527.jpk-force,6.0,2.5e-06,2.7e-06,2799.9999999999995,250.00000000000003,,24.0,1300.0,1.7e-08
force-save-2023.03.06-16.24.32.238.jpk-force,1.0,2.4e-07,4.8e-07,530.0,700.0,,24.0,180.0,8.7e-09
force-save-2023.03.06-16.06.29.932.jpk-force,5.0,2.2e-07,3.6e-07,379.99999999999994,3800.0,,24.0,97.0,1.2e-08
force-save-2023.03.06-17.17.54.785.jpk-force,1.0,8.9e-07,2e-06,2799.9999999999995,99.0,,23.0,160.0,5.4e-10
force-save-2023.03.06-17.18.43.045.jpk-force,1.0,7.9e-07,3.2e-06,3599.9999999999995,340.0,,23.0,340.0,2.5e-09
force-save-2023.03.06-17.21.47.958.jpk-force,0.0,2.6e-08,2.6e-07,349.99999999999994,30.0,,23.0,560.0,1.2e-08
force-save-2023.03.06-17.18.01.639.jpk-force,1.0,3.6e-06,3.6e-06,3799.9999999999995,900.0,,23.0,940.0000000000001,1.5e-08
force-save-2023.03.06-17.11.37.086.jpk-force,3.0,1.5e-06,1.7e-06,1799.9999999999998,1000.0000000000001,,21.0,560.0,1.6e-08
force-save-2023.03.06-16.02.55.884.jpk-force,13.0,1.9e-06,2.1e-06,2600.0,41.0,,20.0,840.0,4.8e-09
force-save-2023.03.06-16.15.38.895.jpk-force,1.0,2.1e-07,4.1e-07,489.9999999999999,68.0,,20.0,590.0,1.5e-08
force-save-2023.03.06-16.03.13.527.jpk-force,8.0,2.7e-06,2.8e-06,2999.9999999999995,250.00000000000003,,19.0,1200.0,1.5e-08
force-save-2023.03.06-16.24.07.514.jpk-force,4.0,7.7e-07,1.1e-06,1300.0,64.0,,19.0,480.0,4.8e-09
force-save-2023.03.06-16.30.27.344.jpk-force,0.0,3.4e-07,3.4e-06,4699.999999999999,53.0,,18.0,280.0,5.7e-10
force-save-2023.03.06-17.19.03.646.jpk-force,5.0,9.1e-07,9.9e-07,1100.0,190.0,,18.0,740.0,1.5e-08
force-save-2023.03.06-16.03.13.527.jpk-force,3.0,2.4e-06,2.5e-06,2699.9999999999995,160.0,,18.0,890.0,9.9e-09
force-save-2023.03.06-16.03.13.527.jpk-force,2.0,2.2e-06,2.4e-06,2699.9999999999995,140.0,,17.0,640.0,6.1e-09
force-save-2023.03.06-16.18.14.332.jpk-force,0.0,3.7e-07,3.7e-06,4699.999999999999,200.0,,17.0,120.0,3.2e-10
