Filename,Index,X Min [m],X Max [m],Contour Length [nm],Bending Length [pm],Stretch Modulus,Residual RMS [pN],Breaking Force [pN],Critical Loading Rate [N/s]
force-save-2023.03.06-15.38.24.187.jpk-force,0.0,1.7e-07,1.7e-06,2099.9999999999995,130.0,,20.0,250.00000000000003,1.7e-09
force-save-2023.03.06-14.55.48.800.jpk-force,0.0,3.2e-12,1.5e-06,1699.9999999999998,230.0,,20.0,250.00000000000003,2.7e-09
force-save-2023.03.06-14.54.26.273.jpk-force,1.0,3.4e-07,1.1e-06,1300.0,32.0,,20.0,960.0,8.4e-09
force-save-2023.03.06-15.24.38.530.jpk-force,0.0,1.1e-07,7e-07,929.9999999999999,140.0,,19.0,130.0,1.5e-09
force-save-2023.03.06-15.20.20.755.jpk-force,1.0,1.3e-06,2.2e-06,2799.9999999999995,130.0,,19.0,220.0,1.1e-09
force-save-2023.03.06-15.08.25.504.jpk-force,0.0,3.8e-11,3e-07,379.99999999999994,220.0,,19.0,130.0,4.1e-09
force-save-2023.03.06-14.55.14.335.jpk-force,2.0,6.1e-07,1.4e-06,1899.9999999999998,63.0,,18.0,240.0,1.1e-09
force-save-2023.03.06-15.17.01.320.jpk-force,8.0,2.7e-06,2.8e-06,3300.0,29.0,,18.0,1900.0,9.8e-09
force-save-2023.03.06-15.00.30.707.jpk-force,0.0,1.2e-10,1.5e-06,2299.9999999999995,44.0,,18.0,220.0,7e-10
force-save-2023.03.06-15.16.20.063.jpk-force,0.0,1.2e-10,5.6e-07,1300.0,71.0,,18.0,59.0,2.6e-10
force-save-2023.03.06-15.17.01.320.jpk-force,4.0,2.3e-06,2.5e-06,2799.9999999999995,140.0,,17.0,740.0,6.5e-09
force-save-2023.03.06-15.08.18.638.jpk-force,0.0,2.8e-08,2.8e-07,369.99999999999994,140.0,,16.0,140.0,3.9e-09
force-save-2023.03.06-14.55.41.924.jpk-force,1.0,3.1e-07,2.4e-06,2999.9999999999995,120.0,,15.0,240.0,1.1e-09
force-save-2023.03.06-15.26.18.282.jpk-force,0.0,1.7e-07,1.7e-06,1799.9999999999998,1900.0,,15.0,75.0,1.3e-09
force-save-2023.03.06-15.17.01.320.jpk-force,0.0,1.9e-07,1.8e-06,2500.0,43.0,,15.0,390.0,1.5e-09
force-save-2023.03.06-15.14.16.351.jpk-force,0.0,2.4e-10,1.9e-06,3399.9999999999995,59.0,,15.0,110.0,2e-10
force-save-2023.03.06-14.57.52.880.jpk-force,1.0,1.2e-06,2e-06,3499.9999999999995,45.0,,15.0,150.0,2.8e-10
force-save-2023.03.06-15.34.33.271.jpk-force,2.0,1.5e-07,5e-07,809.9999999999999,99.0,,14.0,84.0,7e-10
force-save-2023.03.06-15.39.33.296.jpk-force,0.0,1.1e-07,1.1e-06,1300.0,190.0,,14.0,180.0,2e-09
force-save-2023.03.06-15.17.01.320.jpk-force,1.0,1.9e-06,2.1e-06,2299.9999999999995,120.0,,14.0,790.0,7.8e-09
force-save-2023.03.06-14.52.29.259.jpk-force,0.0,2.5e-07,2.5e-06,3799.9999999999995,95.0,,14.0,120.0,2.4e-10
force-save-2023.03.06-15.08.32.393.jpk-force,1.0,3.2e-07,9.6e-07,1199.9999999999998,300.0,,14.0,120.0,1.6e-09
force-save-2023.03.06-15.16.37.395.jpk-force,2.0,7.3e-07,1.4e-06,2600.0,21.0,,14.0,270.0,6e-10
force-save-2023.03.06-15.01.05.024.jpk-force,0.0,1.3e-07,1.3e-06,2099.9999999999995,31.000000000000004,,13.0,290.0,9.8e-10
