Filename,Index,X Min [m],X Max [m],Contour Length [nm],Bending Length [pm],Stretch Modulus,Residual RMS [pN],Breaking Force [pN],Critical Loading Rate [N/s]
force-save-2023.03.06-19.01.03.160.jpk-force,1.0,5.9e-08,1.9e-07,599.9999999999999,28.0,,20.0,91.0,8.4e-10
force-save-2023.03.06-19.08.08.771.jpk-force,1.0,6.5e-08,2.5e-07,330.0,110.0,,18.0,190.0,5.5e-09
force-save-2023.03.06-19.08.53.196.jpk-force,0.0,2e-12,3e-07,519.9999999999999,46.0,,18.0,160.0,1.8e-09
force-save-2023.03.06-19.02.49.117.jpk-force,1.0,1e-06,2.3e-06,2799.9999999999995,200.0,,17.0,210.0,1.1e-09
force-save-2023.03.06-18.58.23.916.jpk-force,3.0,3.4e-07,6.5e-07,1300.0,45.0,,16.0,120.0,5.2e-10
force-save-2023.03.06-19.14.16.504.jpk-force,0.0,9.2e-08,9.1e-07,1399.9999999999998,38.0,,16.0,290.0,1.5e-09
force-save-2023.03.06-18.57.47.613.jpk-force,0.0,1.5e-07,1.4e-06,1899.9999999999998,80.0,,16.0,290.0,1.8e-09
force-save-2023.03.06-19.15.55.867.jpk-force,1.0,2.8e-07,1.3e-06,1499.9999999999998,1900.0,,16.0,49.0,8e-10
force-save-2023.03.06-18.59.39.395.jpk-force,3.0,4.8e-07,7e-07,1300.0,28.0,,16.0,230.0,1e-09
force-save-2023.03.06-19.01.53.457.jpk-force,0.0,9.7e-09,2.7e-06,3300.0,130.0,,16.0,310.0,1.4e-09
force-save-2023.03.06-19.04.50.481.jpk-force,1.0,1e-07,3.1e-07,570.0,22.0,,15.0,290.0,2.7e-09
force-save-2023.03.06-18.58.37.779.jpk-force,2.0,4e-07,6e-07,1100.0,45.0,,15.0,130.0,6.2e-10
force-save-2023.03.06-19.14.55.241.jpk-force,0.0,7.6e-11,1.4e-06,2299.9999999999995,51.0,,14.0,160.0,4.1e-10
force-save-2023.03.06-19.11.51.953.jpk-force,0.0,5.5e-11,8.6e-07,2200.0,33.0,,14.0,100.0,2.4e-10
force-save-2023.03.06-19.01.11.590.jpk-force,2.0,8.2e-08,6.5e-07,2099.9999999999995,23.0,,14.0,110.0,2.8e-10
force-save-2023.03.06-19.00.01.518.jpk-force,2.0,4.4e-07,7.7e-07,1300.0,72.0,,13.0,110.0,5.4e-10
force-save-2023.03.06-18.58.21.027.jpk-force,0.0,2.4e-08,2.4e-07,509.99999999999994,34.0,,13.0,130.0,1.4e-09
force-save-2023.03.06-19.05.18.019.jpk-force,2.0,1.9e-07,2.3e-07,309.99999999999994,30.0,,13.0,510.0,1.1e-08
force-save-2023.03.06-19.04.50.481.jpk-force,2.0,3.5e-07,4.8e-07,879.9999999999999,38.0,,13.0,160.0,1e-09
force-save-2023.03.06-18.58.15.480.jpk-force,1.0,6.3e-07,9.7e-07,1499.9999999999998,82.0,,12.0,130.0,6.4e-10
force-save-2023.03.06-18.58.48.887.jpk-force,1.0,4.6e-07,6.9e-07,1999.9999999999998,23.0,,12.0,120.0,3.2e-10
force-save-2023.03.06-19.14.38.636.jpk-force,0.0,5.1e-08,5e-07,1300.0,26.0,,12.0,120.0,4.7e-10
force-save-2023.03.06-19.03.00.046.jpk-force,0.0,2.9e-08,2.7e-07,339.99999999999994,850.0,,11.0,38.0,1.5e-09
force-save-2023.03.06-19.25.27.534.jpk-force,0.0,6.3e-08,6.1e-07,749.9999999999999,510.0,,11.0,67.0,1.2e-09
force-save-2023.03.06-18.57.25.532.jpk-force,0.0,9.7e-08,9.7e-07,1199.9999999999998,230.0,,11.0,110.0,1.1e-09
force-save-2023.03.06-19.29.46.487.jpk-force,0.0,2.1e-07,2.1e-06,2900.0,70.0,,11.0,230.0,7.7e-10
force-save-2023.03.06-19.26.22.939.jpk-force,0.0,4.5e-08,4.4e-07,909.9999999999999,39.0,,11.0,130.0,7.1e-10
force-save-2023.03.06-18.58.57.305.jpk-force,4.0,8.2e-07,1e-06,1499.9999999999998,99.0,,11.0,130.0,7.3e-10
force-save-2023.03.06-19.31.37.300.jpk-force,0.0,4.6e-08,4.5e-07,489.9999999999999,3900.0,,11.0,33.0,2e-09
force-save-2023.03.06-19.07.24.675.jpk-force,0.0,2.9e-08,2.8e-07,359.99999999999994,240.0,,10.0,95.0,2.8e-09
force-save-2023.03.06-19.24.26.893.jpk-force,0.0,3.1e-08,3.1e-07,660.0,50.0,,10.0,92.0,7.2e-10
force-save-2023.03.06-19.19.47.221.jpk-force,0.0,2.8e-08,2.7e-07,349.99999999999994,480.0,,10.0,47.0,1.5e-09
force-save-2023.03.06-19.26.00.957.jpk-force,1.0,1.4e-07,2.4e-07,409.99999999999994,73.0,,10.0,100.0,1.5e-09
force-save-2023.03.06-19.00.57.608.jpk-force,2.0,4.4e-07,6.1e-07,979.9999999999998,67.0,,10.0,130.0,8.4e-10
force-save-2023.03.06-18.59.27.984.jpk-force,2.0,6.4e-07,8.1e-07,1100.0,110.0,,10.0,150.0,1.2e-09
force-save-2023.03.06-19.05.18.019.jpk-force,3.0,2.5e-07,3e-07,399.99999999999994,230.0,,10.0,82.0,2e-09
force-save-2023.03.06-19.26.09.396.jpk-force,0.0,3.8e-08,3.7e-07,679.9999999999999,39.0,,10.0,160.0,1.3e-09
force-save-2023.03.06-19.12.17.014.jpk-force,1.0,9.1e-07,1.3e-06,1899.9999999999998,82.0,,10.0,130.0,4.9e-10
force-save-2023.03.06-19.45.46.973.jpk-force,0.0,1.3e-07,1.3e-06,2099.9999999999995,48.0,,10.0,170.0,5.2e-10
force-save-2023.03.06-19.17.12.808.jpk-force,0.0,6.2e-08,6e-07,660.0,3900.0,,10.0,33.0,1.4e-09
