Filename,Position Index,X Position,Y Position,Baseline Offset [N],Baseline Slope [N/m],Contact Point Offset [m],Adhesion [pN],Minimum Value [N],Minimum Position [nm],Filter Group,Area [aJ],Lower Bound [m],Upper Bound [m],Fitted Segment Count
force-save-2023.07.02-15.32.59.125.jpk-force,0,-5.4e-06,-5.4e-06,4.44201e-09,-4.22138e-05,6.69085e-06,74.5235,-7.45235e-11,266.414,1,20.103899999999996,1.94384e-06,2.81444e-06,2
force-save-2023.07.02-15.33.29.558.jpk-force,0,-5.4e-06,-5.4e-06,4.04079e-09,-9.90758e-06,7.48485e-06,1123.18,-1.12318e-09,2094.85,0,478.51199999999994,5.96529e-07,2.13205e-06,3
force-save-2023.07.02-16.47.50.445.jpk-force,1,-4.2e-06,-5.4e-06,3.66615e-09,-1.16461e-05,8.35737e-06,108.26100000000001,-1.08261e-10,426.93799999999993,0,7.339189999999999,2.52331e-07,4.35537e-07,1
force-save-2023.07.02-16.48.12.721.jpk-force,2,-3e-06,-5.4e-06,3.42262e-09,3.37463e-06,7.63686e-06,136.145,-1.36145e-10,1040.31,0,33.08259999999999,5.10575e-07,1.05542e-06,1
force-save-2023.07.02-16.49.04.471.jpk-force,3,-1.8e-06,-5.4e-06,3.73891e-09,-4.01823e-05,8.878e-06,53.716499999999996,-5.37165e-11,2871.1299999999997,0,23.166799999999995,2.00985e-06,3.17211e-06,1
force-save-2023.07.02-16.49.54.365.jpk-force,5,6e-07,-5.4e-06,3.39084e-09,-1.75713e-05,9.10917e-06,64.0658,-6.40658e-11,964.755,0,17.766599999999997,4.64913e-07,1.05498e-06,1
force-save-2023.07.02-16.51.48.716.jpk-force,9,5.4e-06,-5.4e-06,3.10139e-09,-1.63564e-05,1.05298e-05,321.17,-3.2117e-10,714.889,0,91.49759999999999,7.29587e-08,7.37297e-07,2
force-save-2023.07.02-16.51.57.823.jpk-force,9,5.4e-06,-5.4e-06,3.27613e-09,-2.96594e-05,1.05377e-05,722.5409999999999,-7.22541e-10,1507.1499999999999,0,504.6139999999999,4.53321e-08,1.90495e-06,17
force-save-2023.07.02-16.52.04.029.jpk-force,9,5.4e-06,-5.4e-06,3.07981e-09,-1.57694e-05,1.08922e-05,569.1389999999999,-5.69139e-10,2396.59,0,187.66499999999996,1.71148e-06,2.56136e-06,6
force-save-2023.07.02-16.52.35.350.jpk-force,10,5.4e-06,-4.2e-06,3.23827e-09,-3.61189e-05,1.04627e-05,63.1601,-6.31601e-11,2042.7299999999998,0,11.593399999999999,1.53991e-06,2.05984e-06,1
force-save-2023.07.02-16.52.41.660.jpk-force,10,5.4e-06,-4.2e-06,3.10217e-09,-2.40611e-05,1.01766e-05,302.40000000000003,-3.024e-10,2455.8199999999997,0,51.42159999999999,2.01993e-06,2.47147e-06,3
force-save-2023.07.02-16.59.24.890.jpk-force,20,-5.4e-06,-3e-06,3.86873e-09,-3.4089e-05,4.42939e-06,582.39,-5.8239e-10,2370.1699999999996,0,269.09499999999997,2.13188e-07,2.59455e-06,3
force-save-2023.07.02-17.01.17.956.jpk-force,23,-1.8e-06,-3e-06,3.47843e-09,-1.55512e-05,7.32697e-06,49.6375,-4.96375e-11,3211.12,0,11.712799999999998,2.6239e-06,3.25379e-06,1
force-save-2023.07.02-17.01.37.095.jpk-force,23,-1.8e-06,-3e-06,3.46776e-09,-1.6884e-05,6.69996e-06,639.0340000000001,-6.39034e-10,2726.2599999999993,0,129.44899999999998,1.80295e-06,2.77411e-06,5
force-save-2023.07.02-17.01.44.791.jpk-force,23,-1.8e-06,-3e-06,3.4955e-09,-2.43992e-05,6.34803e-06,75.96470000000001,-7.59647e-11,3506.1,0,18.363999999999997,2.97036e-06,3.53287e-06,1
force-save-2023.07.02-17.01.56.429.jpk-force,24,-6e-07,-3e-06,3.39356e-09,-1.76066e-05,6.02846e-06,98.9178,-9.89178e-11,821.6729999999999,0,20.642599999999998,3.57252e-07,8.72254e-07,1
force-save-2023.07.02-17.02.07.163.jpk-force,24,-6e-07,-3e-06,3.29991e-09,-8.47225e-06,7.43113e-06,472.042,-4.72042e-10,559.656,0,51.889399999999995,2.37261e-07,5.87685e-07,1
force-save-2023.07.02-17.02.14.306.jpk-force,24,-6e-07,-3e-06,3.43374e-09,-2.43572e-05,7.3182e-06,165.356,-1.65356e-10,1624.0499999999997,0,79.04409999999999,4.10036e-07,1.67515e-06,1
force-save-2023.07.02-17.02.28.834.jpk-force,24,-6e-07,-3e-06,3.47956e-09,-3.25454e-05,8.1468e-06,528.1469999999999,-5.28147e-10,1999.2699999999998,0,174.18799999999996,9.37297e-07,2.0199e-06,3
force-save-2023.07.02-17.02.32.721.jpk-force,25,6e-07,-3e-06,3.38561e-09,-2.84908e-05,8.78239e-06,258.77500000000003,-2.58775e-10,1523.1399999999996,0,104.11099999999999,5.53427e-07,1.61159e-06,4
force-save-2023.07.02-17.02.43.804.jpk-force,25,6e-07,-3e-06,3.12074e-09,-4.21525e-06,8.62973e-06,537.071,-5.37071e-10,994.0409999999998,0,248.2,2.92926e-07,1.81168e-06,4
force-save-2023.07.02-17.03.54.663.jpk-force,26,1.8e-06,-3e-06,3.0814e-09,-1.47646e-05,4.07433e-06,180.18800000000002,-1.80188e-10,5473.95,0,67.16229999999999,4.38832e-06,5.5218e-06,1
