Filename,Position Index,X Position,Y Position,Baseline Offset [N],Baseline Slope [N/m],Contact Point Offset [m],Adhesion [pN],Minimum Value [N],Minimum Position [nm],Filter Group,Area [aJ],Lower Bound [m],Upper Bound [m],Fitted Segment Count
force-save-2023.07.02-15.36.53.926.jpk-force,0,-5.4e-06,-5.4e-06,3.02997e-09,-1.01627e-05,7.21821e-06,308.794,-3.08794e-10,113.02199999999999,1,40.92809999999999,3.17065e-09,7.94368e-07,10
force-save-2023.07.02-15.37.05.938.jpk-force,0,-5.4e-06,-5.4e-06,2.99598e-09,-1.00443e-05,7.23068e-06,152.238,-1.52238e-10,527.4789999999999,0,20.710099999999997,2.57293e-08,6.99498e-07,2
force-save-2023.07.02-15.37.12.806.jpk-force,0,-5.4e-06,-5.4e-06,2.93869e-09,-6.5443e-06,7.22768e-06,109.11699999999999,-1.09117e-10,451.78799999999995,0,23.606699999999996,5.58406e-08,8.37548e-07,4
force-save-2023.07.02-15.37.19.694.jpk-force,0,-5.4e-06,-5.4e-06,2.95369e-09,-1.08238e-05,7.22634e-06,78.74799999999999,-7.8748e-11,65.10279999999999,1,4.06297,1.65864e-07,3.48005e-07,2
force-save-2023.07.02-15.37.38.180.jpk-force,0,-5.4e-06,-5.4e-06,2.84801e-09,-9.48784e-06,7.17815e-06,115.649,-1.15649e-10,81.7589,1,15.633399999999996,3.01901e-07,1.00796e-06,3
force-save-2023.07.02-15.40.33.365.jpk-force,1,-4.2e-06,-5.4e-06,1.98297e-09,-8.34535e-06,7.92538e-06,205.19299999999998,-2.05193e-10,2043.49,0,16.723699999999997,1.85696e-06,2.0653e-06,1
force-save-2023.07.02-18.03.52.119.jpk-force,7,3e-06,-5.4e-06,4.99224e-09,-3.26062e-05,6.12886e-06,43.8783,-4.38783e-11,364.801,0,2.74897,2.26373e-07,3.78838e-07,1
force-save-2023.07.02-18.05.37.749.jpk-force,12,3e-06,-4.2e-06,4.21834e-09,-1.92218e-05,5.42108e-06,63.084799999999994,-6.30848e-11,1876.32,0,10.612599999999999,1.54462e-06,1.94216e-06,1
force-save-2023.07.02-18.05.54.608.jpk-force,13,1.8e-06,-4.2e-06,4.10331e-09,-2.25049e-05,5.30663e-06,341.36,-3.4136e-10,217.21299999999997,1,41.59299999999999,3.85792e-09,3.46599e-07,4
force-save-2023.07.02-18.06.41.059.jpk-force,15,-6e-07,-4.2e-06,3.84799e-09,-2.51494e-05,5.16713e-06,704.892,-7.04892e-10,605.858,0,139.33899999999997,5.08522e-08,6.2992e-07,2
force-save-2023.07.02-18.12.24.093.jpk-force,31,4.2e-06,-1.8e-06,2.0725e-09,-2.17743e-05,2.04731e-06,88.2668,-8.82668e-11,1197.4599999999998,0,12.455799999999998,8.08946e-07,1.21074e-06,1
force-save-2023.07.02-18.14.34.440.jpk-force,37,-3e-06,-1.8e-06,1.43206e-09,-1.53651e-05,2.30494e-06,44.0287,-4.40287e-11,1011.1299999999998,0,4.31802,8.43164e-07,1.06089e-06,1
