Filename,Index,X Min [m],X Max [m],Contour Length [nm],Bending Length [pm],Stretch Modulus,Residual RMS [pN],Breaking Force [pN],Critical Loading Rate [N/s]
force-save-2023.03.06-19.01.03.160.jpk-force,1,5.95e-08,1.92e-07,595.9999999999999,28.0,,19.900000000000002,91.0,8.37e-10
force-save-2023.03.06-19.08.08.771.jpk-force,1,6.49e-08,2.49e-07,328.0,105.0,,18.3,191.0,5.5e-09
force-save-2023.03.06-19.08.53.196.jpk-force,0,1.98e-12,3.04e-07,523.0,45.9,,18.1,157.0,1.77e-09
force-save-2023.03.06-19.02.49.117.jpk-force,1,1e-06,2.32e-06,2770.0,205.0,,17.3,207.0,1.12e-09
force-save-2023.03.06-18.58.23.916.jpk-force,3,3.39e-07,6.51e-07,1269.9999999999998,45.2,,16.3,120.0,5.19e-10
force-save-2023.03.06-19.14.16.504.jpk-force,0,9.17e-08,9.1e-07,1359.9999999999998,38.4,,16.0,288.0,1.47e-09
force-save-2023.03.06-18.57.47.613.jpk-force,0,1.46e-07,1.45e-06,1849.9999999999998,80.3,,15.900000000000002,295.0,1.8e-09
force-save-2023.03.06-19.15.55.867.jpk-force,1,2.81e-07,1.3e-06,1450.0,1870.0,,15.900000000000002,48.9,7.96e-10
force-save-2023.03.06-18.59.39.395.jpk-force,3,4.76e-07,7.01e-07,1259.9999999999998,27.9,,15.6,230.0,1.02e-09
force-save-2023.03.06-19.01.53.457.jpk-force,0,9.74e-09,2.74e-06,3289.9999999999995,125.00000000000001,,15.6,312.0,1.37e-09
force-save-2023.03.06-19.14.16.504.jpk-force,1,9.56e-07,1.32e-06,2060.0,20.1,,15.500000000000002,479.0,1.5e-09
force-save-2023.03.06-19.04.50.481.jpk-force,1,1e-07,3.11e-07,565.9999999999999,21.7,,15.3,291.0,2.72e-09
force-save-2023.03.06-18.58.37.779.jpk-force,2,3.98e-07,6.03e-07,1140.0,44.6,,15.100000000000001,128.0,6.21e-10
force-save-2023.03.06-19.14.55.241.jpk-force,0,7.56e-11,1.41e-06,2339.9999999999995,51.1,,14.2,157.0,4.07e-10
force-save-2023.03.06-19.11.51.953.jpk-force,0,5.54e-11,8.56e-07,2219.9999999999995,32.9,,13.6,99.9,2.35e-10
force-save-2023.03.06-19.01.11.590.jpk-force,2,8.21e-08,6.55e-07,2089.9999999999995,23.1,,13.5,106.0,2.84e-10
force-save-2023.03.06-19.00.01.518.jpk-force,2,4.39e-07,7.7e-07,1269.9999999999998,71.60000000000001,,13.3,112.0,5.42e-10
force-save-2023.03.06-18.58.21.027.jpk-force,0,2.42e-08,2.41e-07,508.99999999999994,34.4,,13.1,135.0,1.39e-09
force-save-2023.03.06-19.05.18.019.jpk-force,2,1.94e-07,2.27e-07,313.99999999999994,30.200000000000003,,12.6,509.0,1.11e-08
