Filename,Index,X Min [m],X Max [m],Contour Length [nm],Bending Length [pm],Stretch Modulus,Residual RMS [pN],Breaking Force [pN],Critical Loading Rate [N/s]
force-save-2022.07.07-21.19.34.491.jpk-force,1,2.27e-07,1.31e-06,1529.9999999999998,746.0,,19.7,71.9,8.86e-10
force-save-2022.07.07-21.20.02.023.jpk-force,1,7.28e-07,2.24e-06,2739.9999999999995,191.0,,15.6,173.0,9e-10
force-save-2022.07.07-21.20.19.298.jpk-force,0,1.11e-10,1.94e-06,2309.9999999999995,357.0,,13.3,121.99999999999999,8.92e-10
force-save-2022.07.07-21.06.51.032.jpk-force,0,9.34e-11,2.11e-06,2699.9999999999995,179.0,,10.2,134.0,5.92e-10
force-save-2022.07.07-21.20.53.589.jpk-force,1,2.94e-07,2e-06,2169.9999999999995,2640.0,,9.94,61.6,9.77e-10
force-save-2022.07.07-21.15.06.237.jpk-force,1,2.97e-07,1.52e-06,1719.9999999999998,1020.0,,9.889999999999999,79.5,1.08e-09
force-save-2022.07.07-21.16.08.186.jpk-force,0,5.12e-08,5e-07,818.0,111.0,,9.799999999999999,75.0,6.06e-10
force-save-2022.07.07-21.08.17.290.jpk-force,0,4.43e-08,4.4e-07,682.9999999999999,108.0,,9.7,89.7,9.25e-10
force-save-2022.07.07-21.27.48.371.jpk-force,0,3.26e-11,1.68e-06,1930.0,508.0,,9.53,134.0,1.34e-09
force-save-2022.07.07-21.10.17.452.jpk-force,0,7.96e-08,7.95e-07,1809.9999999999998,45.9,,9.48,88.0,2.66e-10
force-save-2022.07.07-21.09.22.483.jpk-force,1,8.75e-07,1.97e-06,2179.9999999999995,3340.0,,9.0,33.400000000000006,4.3e-10
force-save-2022.07.07-21.05.35.301.jpk-force,2,1.05e-06,1.83e-06,2559.9999999999995,97.60000000000001,,8.63,149.0,5.2e-10
force-save-2022.07.07-21.12.07.212.jpk-force,0,1.86e-07,1.86e-06,3019.9999999999995,59.699999999999996,,8.61,140.0,3.13e-10
force-save-2022.07.07-21.13.57.160.jpk-force,0,3.49e-08,3.42e-07,452.99999999999994,513.0,,8.33,37.5,8.76e-10
force-save-2022.07.07-21.05.49.081.jpk-force,0,1.28e-07,6.82e-07,993.9999999999998,152.0,,8.13,80.5,6.52e-10
