Filename,Index,X Min [m],X Max [m],Contour Length [nm],Bending Length [pm],Stretch Modulus,Residual RMS [pN],Breaking Force [pN],Critical Loading Rate [N/s]
force-save-2022.09.22-18.14.50.244.jpk-force,1,2.26e-07,7.25e-07,892.9999999999999,72.5,,23.8,432.0,5.81e-09
force-save-2022.09.22-18.09.25.392.jpk-force,0,8.08e-08,8.04e-07,893.9999999999999,1110.0,,23.6,93.2,2.63e-09
force-save-2022.09.22-18.15.09.910.jpk-force,4,6.1e-07,1.27e-06,1499.9999999999998,80.3,,22.0,571.0,5.68e-09
force-save-2022.09.22-18.25.46.792.jpk-force,1,2.62e-07,2.04e-06,2579.9999999999995,73.3,,21.1,353.0,1.6e-09
force-save-2022.09.22-18.19.33.339.jpk-force,0,1.99e-07,1.76e-06,2079.9999999999995,165.0,,19.5,281.0,2.18e-09
force-save-2022.09.22-18.10.16.579.jpk-force,0,3.97e-08,2.94e-07,366.0,385.0,,19.4,74.1,2.36e-09
force-save-2022.09.22-18.24.55.755.jpk-force,0,6.14e-08,4.9e-07,560.9999999999999,866.0,,18.900000000000002,78.1,2.71e-09
force-save-2022.09.22-18.34.53.330.jpk-force,0,7.27e-08,7.17e-07,980.9999999999999,67.2,,18.4,240.0,2.13e-09
force-save-2022.09.22-18.13.51.482.jpk-force,1,3.15e-07,2.16e-06,2629.9999999999995,75.60000000000001,,17.7,466.00000000000006,2.46e-09
force-save-2022.09.22-18.11.16.547.jpk-force,4,2.85e-07,9.79e-07,1169.9999999999998,248.00000000000003,,16.700000000000003,162.0,2.01e-09
force-save-2022.09.22-18.21.00.883.jpk-force,3,2.55e-07,1.25e-06,1379.9999999999998,1810.0,,15.6,64.9,1.29e-09
force-save-2022.09.22-18.31.06.628.jpk-force,1,5.71e-07,1.18e-06,1599.9999999999998,47.7,,15.4,364.0,2.06e-09
force-save-2022.09.22-18.39.26.438.jpk-force,0,5.73e-11,4.3e-07,592.9999999999999,98.3,,15.0,158.0,2.29e-09
force-save-2022.09.22-18.14.01.232.jpk-force,0,6.11e-08,2.41e-06,2550.0,3889.9999999999995,,15.0,85.89999999999999,1.59e-09
force-save-2022.09.22-18.27.40.920.jpk-force,1,1.06e-07,7.26e-07,846.9999999999999,1170.0,,14.900000000000002,45.300000000000004,9.62e-10
force-save-2022.09.22-18.21.13.170.jpk-force,0,1.02e-07,1.02e-06,1389.9999999999998,47.6,,14.6,346.0,2.21e-09
force-save-2022.09.22-18.25.58.783.jpk-force,2,6.54e-07,1.53e-06,1999.9999999999998,52.4,,14.6,385.0,1.94e-09
force-save-2022.09.22-18.25.15.115.jpk-force,1,3.82e-07,8.55e-07,1129.9999999999998,75.4,,14.5,261.0,2.26e-09
force-save-2022.09.22-18.22.29.227.jpk-force,1,3.2e-07,6.46e-07,864.9999999999999,85.5,,14.3,212.0,2.28e-09
force-save-2022.09.22-18.14.30.621.jpk-force,2,3e-07,9.08e-07,1430.0,68.6,,14.2,137.0,6.48e-10
force-save-2022.09.22-18.41.23.680.jpk-force,0,4.33e-08,2.68e-07,342.99999999999994,302.0,,14.2,77.80000000000001,2.45e-09
force-save-2022.09.22-18.26.13.246.jpk-force,0,1.67e-07,2.97e-07,355.99999999999994,382.0,,14.1,103.0,4.11e-09
force-save-2022.09.22-18.39.19.018.jpk-force,3,1.23e-06,2.15e-06,2539.9999999999995,293.0,,13.9,164.0,1.09e-09
force-save-2022.09.22-18.15.59.049.jpk-force,2,3.92e-07,2.5e-06,2919.9999999999995,1200.0,,13.9,45.5,2.82e-10
force-save-2022.09.22-18.36.09.159.jpk-force,0,9.93e-08,9.87e-07,1629.9999999999998,104.0,,13.9,77.5,2.93e-10
force-save-2022.09.22-18.33.51.943.jpk-force,1,8.3e-08,2.91e-07,554.9999999999999,29.7,,13.5,191.0,1.85e-09
force-save-2022.09.22-18.34.06.784.jpk-force,0,5.54e-08,5.17e-07,608.0,606.0,,13.3,79.3,2.15e-09
force-save-2022.09.22-18.33.42.202.jpk-force,1,4.43e-07,6.35e-07,743.9999999999999,366.0,,12.700000000000001,139.0,3.14e-09
force-save-2022.09.22-18.12.43.797.jpk-force,3,8.36e-08,1.42e-07,366.0,20.599999999999998,,12.4,161.0,2.23e-09
force-save-2022.09.22-18.13.03.096.jpk-force,2,1.74e-07,2.55e-07,374.99999999999994,49.3,,12.4,239.0,4.45e-09
force-save-2022.09.22-18.27.55.756.jpk-force,1,5.97e-07,9.25e-07,1459.9999999999998,28.9,,11.9,320.0,1.44e-09
force-save-2022.09.22-18.36.48.352.jpk-force,1,7.12e-07,1.35e-06,1729.9999999999998,149.0,,11.9,158.0,9.99e-10
force-save-2022.09.22-18.14.35.495.jpk-force,0,1.53e-07,1.51e-06,1639.9999999999998,2990.0,,11.700000000000001,57.699999999999996,1.18e-09
force-save-2022.09.22-18.30.18.044.jpk-force,2,6.82e-07,1.6e-06,1989.9999999999998,143.0,,11.700000000000001,204.0,1.27e-09
force-save-2022.09.22-18.16.38.338.jpk-force,2,1.24e-07,1.96e-07,548.9999999999999,49.2,,11.5,59.5,5.74e-10
force-save-2022.09.22-18.42.49.250.jpk-force,1,3e-07,1.79e-06,2319.9999999999995,75.10000000000001,,11.5,285.0,1.27e-09
force-save-2022.09.22-18.37.10.465.jpk-force,0,2.39e-07,2.38e-06,3509.9999999999995,215.0,,11.4,54.599999999999994,1.16e-10
force-save-2022.09.22-18.39.14.140.jpk-force,0,2.59e-08,2.5e-07,534.9999999999999,31.400000000000002,,11.100000000000001,144.0,1.39e-09
force-save-2022.09.22-18.41.35.751.jpk-force,0,1.26e-07,1.25e-06,1739.9999999999998,284.0,,11.100000000000001,51.900000000000006,2.56e-10
force-save-2022.09.22-18.09.25.392.jpk-force,1,8.72e-07,1.44e-06,1899.9999999999998,67.5,,11.0,288.0,1.53e-09
force-save-2022.09.22-18.26.37.447.jpk-force,1,1.52e-07,3.32e-07,390.99999999999994,819.0,,11.0,57.699999999999996,2.43e-09
force-save-2022.09.22-18.36.11.714.jpk-force,0,5.66e-08,5.58e-07,741.9999999999999,83.9,,10.799999999999999,225.0,2.84e-09
force-save-2022.09.22-18.09.35.129.jpk-force,1,6.2e-07,1.61e-06,2099.9999999999995,172.0,,10.7,121.99999999999999,6.27e-10
force-save-2022.09.22-18.30.37.613.jpk-force,0,4.3e-08,4.21e-07,502.99999999999994,1240.0,,10.6,33.1,9.93e-10
force-save-2022.09.22-18.12.05.050.jpk-force,2,1.19e-07,1.59e-07,364.99999999999994,22.8,,10.5,175.0,2.36e-09
force-save-2022.09.22-18.11.06.898.jpk-force,4,2.56e-07,3.67e-07,415.99999999999994,1870.0,,10.399999999999999,41.199999999999996,2.06e-09
force-save-2022.09.22-18.20.21.681.jpk-force,0,1.38e-07,1.37e-06,1779.9999999999998,129.0,,10.399999999999999,167.0,1e-09
force-save-2022.09.22-18.41.55.250.jpk-force,0,7.23e-08,7.01e-07,807.9999999999999,928.0,,10.299999999999999,65.6,1.54e-09
force-save-2022.09.22-18.25.19.992.jpk-force,0,8.79e-08,1.45e-06,2309.9999999999995,163.0,,10.299999999999999,55.4,1.58e-10
force-save-2022.09.22-18.24.48.601.jpk-force,0,8.42e-12,5.52e-07,660.0,671.0,,10.2,60.5,1.38e-09
force-save-2022.09.22-18.31.35.799.jpk-force,0,7.91e-08,7.78e-07,1140.0,101.0,,10.2,118.0,7.8e-10
force-save-2022.09.22-18.15.22.218.jpk-force,3,1.31e-07,3.93e-07,523.9999999999999,165.0,,10.1,112.0,2.03e-09
force-save-2022.09.22-18.14.55.117.jpk-force,0,1.14e-07,1.11e-06,1279.9999999999998,418.0,,10.1,139.0,2e-09
force-save-2022.09.22-18.13.22.470.jpk-force,4,6.41e-07,2.47e-06,3860.0,212.0,,10.1,44.800000000000004,7.9e-11
force-save-2022.09.22-18.20.07.150.jpk-force,3,2.12e-07,6.55e-07,811.9999999999999,325.0,,10.0,91.3,1.44e-09
force-save-2022.09.22-18.33.42.202.jpk-force,0,5.29e-08,3.5e-07,397.0,1360.0,,9.97,55.699999999999996,2.95e-09
force-save-2022.09.22-18.41.16.249.jpk-force,0,7.41e-08,5.89e-07,1069.9999999999998,212.0,,9.92,29.7,1.57e-10
force-save-2022.09.22-18.41.50.369.jpk-force,1,3.06e-07,1.26e-06,1450.0,553.0,,9.91,115.0,1.55e-09
force-save-2022.09.22-18.37.07.915.jpk-force,0,2.6e-11,4.12e-07,534.9999999999999,218.0,,9.870000000000001,99.3,1.9e-09
force-save-2022.09.22-18.14.50.244.jpk-force,3,7.96e-07,1.02e-06,1450.0,49.3,,9.780000000000001,284.0,1.61e-09
force-save-2022.09.22-18.13.51.482.jpk-force,2,2.18e-06,2.33e-06,2699.9999999999995,78.7,,9.780000000000001,712.0,4.55e-09
force-save-2022.09.22-18.33.42.202.jpk-force,2,6.89e-07,9.09e-07,1230.0,62.9,,9.73,272.0,2.02e-09
force-save-2022.09.22-18.26.13.246.jpk-force,2,3.39e-07,6.2e-07,773.0,662.0,,9.62,42.9,7.02e-10
force-save-2022.09.22-18.19.28.461.jpk-force,0,5.71e-08,5.67e-07,656.9999999999999,1290.0,,9.6,44.800000000000004,1.27e-09
force-save-2022.09.22-18.40.37.115.jpk-force,2,1.98e-06,2.28e-06,3619.9999999999995,101.0,,9.53,89.8,1.64e-10
force-save-2022.09.22-18.10.46.916.jpk-force,0,1.47e-07,1.46e-06,1979.9999999999998,301.0,,9.52,54.9,2.49e-10
force-save-2022.09.22-18.17.17.543.jpk-force,3,1.27e-07,2.12e-07,311.99999999999994,236.0,,9.51,50.1,1.17e-09
force-save-2022.09.22-18.33.54.494.jpk-force,4,1.01e-06,2.02e-06,2929.9999999999995,198.0,,9.43,62.50000000000001,1.67e-10
