Filename,Contour Length Difference [nm]
force-save-2022.09.22-19.51.40.193.jpk-force,1140.0
force-save-2022.09.22-20.09.48.199.jpk-force,15.0
force-save-2022.09.22-20.09.48.199.jpk-force,153.99999999999997
force-save-2022.09.22-19.51.09.532.jpk-force,122.59999999999998
force-save-2022.09.22-20.05.24.165.jpk-force,2572.0
force-save-2022.09.22-19.55.22.312.jpk-force,498.00000000000006
force-save-2022.09.22-20.07.37.427.jpk-force,719.9999999999998
force-save-2022.09.22-19.53.45.227.jpk-force,1109.2999999999997
force-save-2022.09.22-20.12.54.974.jpk-force,57.09999999999999
force-save-2022.09.22-20.12.54.974.jpk-force,13.0
force-save-2022.09.22-20.12.54.974.jpk-force,50.000000000000014
force-save-2022.09.22-20.12.54.974.jpk-force,126.99999999999994
force-save-2022.09.22-20.12.54.974.jpk-force,47.0
force-save-2022.09.22-20.12.54.974.jpk-force,14.0
force-save-2022.09.22-20.12.54.974.jpk-force,46.0
force-save-2022.09.22-20.12.54.974.jpk-force,1401.9999999999998
force-save-2022.09.22-20.04.59.112.jpk-force,822.9999999999998
