Filename,Position Index,X Position,Y Position,Baseline Offset [N],Baseline Slope [N/m],Contact Point Offset [m],Adhesion [pN],Minimum Value [N],Minimum Position [nm],Filter Group,Area [aJ],Lower Bound [m],Upper Bound [m],Fitted Segment Count
force-save-2023.07.02-15.45.18.312.jpk-force,2,-3e-06,-5.4e-06,3.38281e-10,-1.0755e-05,7.93098e-06,173.551,-1.73551e-10,755.4169999999999,0,27.8036,2.49259e-07,7.68635e-07,1
force-save-2023.07.02-15.47.36.607.jpk-force,6,1.8e-06,-5.4e-06,-5.38807e-10,-1.52899e-05,7.20615e-06,283.062,-2.83062e-10,3582.8999999999996,0,90.475,2.38187e-06,3.59526e-06,2
force-save-2023.07.02-15.48.17.889.jpk-force,7,3e-06,-5.4e-06,-8.69522e-10,-8.62555e-06,6.83723e-06,108.669,-1.08669e-10,41.1277,1,1.90076,1.36319e-09,4.73217e-08,1
force-save-2023.07.02-15.48.21.457.jpk-force,8,4.2e-06,-5.4e-06,-7.06011e-10,-2.91053e-05,7.01429e-06,266.53799999999995,-2.66538e-10,2793.1599999999994,0,218.46599999999998,6.82386e-08,3.18122e-06,4
force-save-2023.07.02-15.48.31.616.jpk-force,8,4.2e-06,-5.4e-06,-9.28331e-10,-1.14701e-05,7.24929e-06,207.278,-2.07278e-10,3448.5599999999995,0,101.32499999999999,2.27094e-06,3.46262e-06,2
force-save-2023.07.02-15.49.05.840.jpk-force,9,5.4e-06,-5.4e-06,-1.04545e-09,-1.97776e-05,7.20922e-06,71.7406,-7.17406e-11,757.895,0,9.25292,4.69788e-07,7.65619e-07,1
force-save-2023.07.02-15.49.30.056.jpk-force,10,5.4e-06,-4.2e-06,-1.25289e-09,-1.41718e-05,7.7048e-06,120.664,-1.20664e-10,4127.2,0,57.053099999999986,3.18303e-06,4.42616e-06,1
force-save-2023.07.02-15.50.14.519.jpk-force,11,4.2e-06,-4.2e-06,-1.50706e-09,-1.4859e-05,7.72508e-06,387.58000000000004,-3.8758e-10,3766.91,0,259.327,1.96725e-06,3.79382e-06,1
force-save-2023.07.02-15.51.01.905.jpk-force,12,3e-06,-4.2e-06,-1.86312e-09,-1.14567e-05,7.73308e-06,64.5406,-6.45406e-11,3751.109999999999,0,1.7799899999999997,8.10738e-07,9.61037e-07,1
force-save-2023.07.02-15.51.08.754.jpk-force,12,3e-06,-4.2e-06,-1.92788e-09,-6.59956e-06,7.43231e-06,46.8895,-4.68895e-11,21.438099999999995,1,0.9949799999999999,3.47431e-06,3.58755e-06,1
force-save-2023.07.02-15.51.57.011.jpk-force,14,6e-07,-4.2e-06,-2.09543e-09,-1.80755e-05,7.43354e-06,84.086,-8.4086e-11,386.14599999999996,0,9.54782,1.63255e-07,4.12787e-07,1
force-save-2023.07.02-15.52.03.905.jpk-force,14,6e-07,-4.2e-06,-2.19346e-09,-1.53736e-05,7.32835e-06,136.509,-1.36509e-10,1198.6799999999998,0,81.47169999999998,1.78121e-07,1.34416e-06,1
force-save-2023.07.02-15.53.25.850.jpk-force,16,-1.8e-06,-4.2e-06,-2.62656e-09,-1.68927e-05,8.57479e-06,181.746,-1.81746e-10,1407.8899999999999,0,66.21279999999999,4.65605e-07,1.44372e-06,1
force-save-2023.07.02-15.55.11.693.jpk-force,20,-5.4e-06,-3e-06,-3.21538e-09,-1.53108e-05,1.01938e-05,104.53399999999999,-1.04534e-10,1471.2299999999998,0,70.5166,1.54064e-07,1.49292e-06,1
force-save-2023.07.02-15.57.05.553.jpk-force,23,-1.8e-06,-3e-06,-3.79465e-09,-1.41805e-05,9.6606e-06,71.015,-7.1015e-11,943.1319999999998,0,7.28989,7.49062e-07,9.84515e-07,1
force-save-2023.07.02-15.57.12.431.jpk-force,23,-1.8e-06,-3e-06,-3.91651e-09,-9.70387e-06,9.89754e-06,55.233,-5.5233e-11,414.83699999999993,0,3.36834,2.94899e-07,4.28931e-07,1
force-save-2023.07.02-15.58.21.366.jpk-force,25,6e-07,-3e-06,-4.17755e-09,-1.33295e-05,9.45568e-06,62.2023,-6.22023e-11,262.33,1,2.96188,1.52577e-07,2.70885e-07,2
force-save-2023.07.02-15.58.48.747.jpk-force,26,1.8e-06,-3e-06,-4.21177e-09,-2.30471e-05,9.61546e-06,158.603,-1.58603e-10,4474.0599999999995,0,43.254,3.73247e-06,4.48017e-06,1
force-save-2023.07.02-15.59.08.818.jpk-force,26,1.8e-06,-3e-06,-4.48045e-09,-1.07815e-05,1.07392e-05,86.94930000000001,-8.69493e-11,762.3449999999999,0,5.9697499999999994,6.4504e-07,8.61979e-07,1
force-save-2023.07.02-15.59.12.381.jpk-force,27,3e-06,-3e-06,-4.40515e-09,-1.84078e-05,1.06711e-05,172.547,-1.72547e-10,3030.81,0,39.628899999999994,2.44696e-06,3.07848e-06,1
force-save-2023.07.02-16.02.27.331.jpk-force,30,5.4e-06,-1.8e-06,4.79571e-09,-1.68547e-05,1.258e-05,45.3976,-4.53976e-11,56.43869999999999,1,1.58687,1.68093e-08,8.76825e-08,1
force-save-2023.07.02-16.02.39.238.jpk-force,30,5.4e-06,-1.8e-06,4.73123e-09,-1.73807e-05,1.26815e-05,43.6332,-4.36332e-11,91.22619999999999,1,1.25504,5.17255e-08,1.06935e-07,1
force-save-2023.07.02-16.02.45.179.jpk-force,30,5.4e-06,-1.8e-06,4.76228e-09,-2.19431e-05,1.2599e-05,42.167699999999996,-4.21677e-11,139.02599999999998,1,1.3529999999999998,7.33879e-08,1.46827e-07,1
force-save-2023.07.02-16.02.48.731.jpk-force,31,4.2e-06,-1.8e-06,4.76011e-09,-2.43565e-05,1.27177e-05,115.86999999999999,-1.1587e-10,1207.5099999999998,0,81.3068,1.74353e-07,1.2665e-06,1
