Filename,Position Index,X Position,Y Position,Baseline Offset [N],Baseline Slope [N/m],Contact Point Offset [m],Adhesion [pN],Minimum Value [N],Minimum Position [nm],Filter Group,Area [aJ],Lower Bound [m],Upper Bound [m],Fitted Segment Count
force-save-2023.07.02-15.36.53.926.jpk-force,0,-5.4e-06,-5.4e-06,3.02997e-09,-1.01627e-05,7.21821e-06,308.794,-3.08794e-10,113.02199999999999,1,40.92809999999999,3.17065e-09,7.94368e-07,10
force-save-2023.07.02-15.37.05.938.jpk-force,0,-5.4e-06,-5.4e-06,2.99598e-09,-1.00443e-05,7.23068e-06,152.238,-1.52238e-10,527.4789999999999,0,20.710099999999997,2.57293e-08,6.99498e-07,2
force-save-2023.07.02-15.37.12.806.jpk-force,0,-5.4e-06,-5.4e-06,2.93869e-09,-6.5443e-06,7.22768e-06,109.11699999999999,-1.09117e-10,451.78799999999995,0,23.606699999999996,5.58406e-08,8.37548e-07,4
force-save-2023.07.02-15.37.19.694.jpk-force,0,-5.4e-06,-5.4e-06,2.95369e-09,-1.08238e-05,7.22634e-06,78.74799999999999,-7.8748e-11,65.10279999999999,1,4.06297,1.65864e-07,3.48005e-07,2
force-save-2023.07.02-15.37.38.180.jpk-force,0,-5.4e-06,-5.4e-06,2.84801e-09,-9.48784e-06,7.17815e-06,115.649,-1.15649e-10,81.7589,1,15.633399999999996,3.01901e-07,1.00796e-06,3
force-save-2023.07.02-15.38.03.924.jpk-force,0,-5.4e-06,-5.4e-06,2.75687e-09,-1.21981e-05,7.26372e-06,53.6672,-5.36672e-11,26.2064,1,0.7920079999999999,4.68216e-09,4.55953e-08,1
force-save-2023.07.02-15.40.33.365.jpk-force,1,-4.2e-06,-5.4e-06,1.98297e-09,-8.34535e-06,7.92538e-06,205.19299999999998,-2.05193e-10,2043.49,0,16.723699999999997,1.85696e-06,2.0653e-06,1
force-save-2023.07.02-18.01.27.592.jpk-force,0,-5.4e-06,-5.4e-06,5.93849e-09,-2.29843e-05,8.17273e-06,190.212,-1.90212e-10,127.94399999999999,1,10.722499999999998,9.15819e-09,1.34995e-07,1
force-save-2023.07.02-18.02.09.934.jpk-force,2,-3e-06,-5.4e-06,5.68977e-09,-2.37523e-05,7.63443e-06,199.989,-1.99989e-10,47.84599999999999,1,4.96695,1.79889e-09,5.21336e-08,1
force-save-2023.07.02-18.02.14.136.jpk-force,2,-3e-06,-5.4e-06,5.62623e-09,-1.49257e-05,7.73924e-06,69.8331,-6.98331e-11,38.119499999999995,1,1.67752,2.14618e-06,2.28411e-06,1
force-save-2023.07.02-18.03.52.119.jpk-force,7,3e-06,-5.4e-06,4.99224e-09,-3.26062e-05,6.12886e-06,43.8783,-4.38783e-11,364.801,0,2.74897,2.26373e-07,3.78838e-07,1
force-save-2023.07.02-18.04.21.803.jpk-force,8,4.2e-06,-5.4e-06,4.73539e-09,-2.63612e-05,5.46476e-06,95.8134,-9.58134e-11,25.403799999999997,1,1.50961,2.67641e-11,3.35566e-08,1
force-save-2023.07.02-18.05.37.749.jpk-force,12,3e-06,-4.2e-06,4.21834e-09,-1.92218e-05,5.42108e-06,63.084799999999994,-6.30848e-11,1876.32,0,10.612599999999999,1.54462e-06,1.94216e-06,1
force-save-2023.07.02-18.05.54.608.jpk-force,13,1.8e-06,-4.2e-06,4.10331e-09,-2.25049e-05,5.30663e-06,341.36,-3.4136e-10,217.21299999999997,1,41.59299999999999,3.85792e-09,3.46599e-07,4
force-save-2023.07.02-18.06.36.831.jpk-force,15,-6e-07,-4.2e-06,3.88669e-09,-2.63066e-05,5.20393e-06,61.5852,-6.15852e-11,124.58699999999999,1,2.89772,4.79629e-08,1.31861e-07,1
force-save-2023.07.02-18.06.41.059.jpk-force,15,-6e-07,-4.2e-06,3.84799e-09,-2.51494e-05,5.16713e-06,704.892,-7.04892e-10,605.858,0,139.33899999999997,5.08522e-08,6.2992e-07,2
force-save-2023.07.02-18.07.05.911.jpk-force,16,-1.8e-06,-4.2e-06,3.72587e-09,-2.74425e-05,5.74887e-06,39.9664,-3.99664e-11,264.409,1,1.28586,1.87423e-06,2.01717e-06,1
force-save-2023.07.02-18.12.24.093.jpk-force,31,4.2e-06,-1.8e-06,2.0725e-09,-2.17743e-05,2.04731e-06,88.2668,-8.82668e-11,1197.4599999999998,0,12.455799999999998,8.08946e-07,1.21074e-06,1
force-save-2023.07.02-18.14.34.440.jpk-force,37,-3e-06,-1.8e-06,1.43206e-09,-1.53651e-05,2.30494e-06,44.0287,-4.40287e-11,1011.1299999999998,0,4.31802,8.43164e-07,1.06089e-06,1
force-save-2023.07.02-18.17.24.480.jpk-force,45,6e-07,-6e-07,7.6326e-10,-2.22102e-05,-2.58993e-07,43.1054,-4.31054e-11,102.78299999999999,1,1.4998799999999999,3.44761e-08,1.06001e-07,1
