Filename,Index,X Min [m],X Max [m],Contour Length [m],Bending Length [m],Stretch Modulus,Residual RMS [N],Breaking Force [N],Critical Loading Rate [N/s]
force-save-2023.07.02-15.32.59.125.jpk-force,0,2.68347e-08,2.66414e-07,3.66902e-07,2.15961e-10,,6.50584e-12,7.26013e-11,1.76805e-09
force-save-2023.07.02-15.32.59.125.jpk-force,1,5.23289e-07,2.75065e-06,3.36039e-06,8.01715e-10,,8.74772e-12,4.19067e-11,1.78947e-10
force-save-2023.07.02-15.33.29.558.jpk-force,0,1.18125e-07,1.1739e-06,1.34794e-06,2.75143e-10,,1.41359e-11,2.33645e-10,3.40828e-09
force-save-2023.07.02-15.33.29.558.jpk-force,1,1.25984e-06,1.99784e-06,2.51683e-06,2.64295e-11,,4.69299e-11,1.00039e-09,4.61809e-09
force-save-2023.07.02-15.33.29.558.jpk-force,2,2.00979e-06,2.09485e-06,2.7465e-06,1.83748e-11,,7.74925e-12,1.10974e-09,4.07452e-09
force-save-2023.07.02-16.47.50.445.jpk-force,0,4.33018e-08,4.26938e-07,5.22152e-07,3.00984e-10,,7.7837e-12,1.10591e-10,2.8541e-09
force-save-2023.07.02-16.48.12.721.jpk-force,0,1.05148e-07,1.04031e-06,1.37976e-06,1.30911e-10,,1.28107e-11,1.45725e-10,1.04785e-09
force-save-2023.07.02-16.49.04.471.jpk-force,0,3.16643e-07,2.87113e-06,4640.64,1.64324e-19,,9.43084e-12,2.32241e-11,1.13598e-11
force-save-2023.07.02-16.49.54.365.jpk-force,0,1.0526e-07,9.64755e-07,1.45149e-06,1.93581e-10,,7.50479e-12,5.6094e-11,2.90294e-10
force-save-2023.07.02-16.51.48.716.jpk-force,0,5.65499e-08,5.64392e-07,9.11433e-07,3.14779e-11,,1.00676e-11,2.73784e-10,2.00866e-09
force-save-2023.07.02-16.51.48.716.jpk-force,1,5.84069e-07,7.14889e-07,1.10596e-06,3.13979e-11,,7.96056e-12,3.141e-10,2.03026e-09
force-save-2023.07.02-16.51.57.823.jpk-force,0,5.78143e-08,5.7556e-07,8.11166e-07,2.8207e-11,,1.38879e-11,4.99525e-10,5.07845e-09
force-save-2023.07.02-16.51.57.823.jpk-force,1,5.84545e-07,6.0085e-07,8.39567e-07,3.77557e-11,,9.22796e-12,3.87918e-10,3.97734e-09
force-save-2023.07.02-16.51.57.823.jpk-force,2,6.08128e-07,6.4142e-07,8.86637e-07,3.58296e-11,,7.01691e-12,4.2989e-10,4.27369e-09
force-save-2023.07.02-16.51.57.823.jpk-force,3,6.57703e-07,7.64032e-07,1.01837e-06,2.6912e-11,,1.97273e-11,6.8958e-10,6.39285e-09
force-save-2023.07.02-16.51.57.823.jpk-force,4,8.21441e-07,1.16793e-06,1.34619e-06,9.64295e-11,,2.64745e-11,6.35021e-10,8.46826e-09
force-save-2023.07.02-16.51.57.823.jpk-force,5,1.17589e-06,1.18863e-06,1.44001e-06,1.00855e-10,,1.24107e-11,3.58336e-10,3.64677e-09
force-save-2023.07.02-16.51.57.823.jpk-force,6,1.20459e-06,1.2803e-06,1.51378e-06,1.2748e-10,,7.42475e-12,3.58583e-10,3.9443e-09
force-save-2023.07.02-16.51.57.823.jpk-force,7,1.29882e-06,1.44147e-06,1.74069e-06,5.19043e-11,,1.1216e-11,7.16822e-10,5.88352e-09
force-save-2023.07.02-16.51.57.823.jpk-force,8,1.45564e-06,1.50715e-06,2.08723e-06,2.15323e-11,,8.75417e-12,7.09032e-10,3.04689e-09
force-save-2023.07.02-16.51.57.823.jpk-force,9,1.51914e-06,1.57382e-06,1.9722e-06,3.89808e-11,,9.39213e-12,7.04897e-10,4.40939e-09
force-save-2023.07.02-16.51.57.823.jpk-force,10,1.57697e-06,1.586e-06,1.99743e-06,3.89257e-11,,7.66127e-12,6.80666e-10,4.13683e-09
force-save-2023.07.02-16.51.57.823.jpk-force,11,1.60098e-06,1.61099e-06,1.75787e-06,3.79974e-10,,9.2531e-12,3.95143e-10,6.75329e-09
