Filename	Position Index	X Position	Y Position	Baseline Offset [N]	Baseline Slope [N/m]	Contact Point Offset [m]	Adhesion [N]	Minimum Value [N]	Minimum Position [m]	Filter Group	Area [J]	Lower Bound [m]	Upper Bound [m]	Fitted Segment Count
force-save-2023.07.02-15.32.59.125.jpk-force	0	-5.40000e-06	-5.40000e-06	4.44201e-09	-4.22138e-05	6.69085e-06	7.45235e-11	-7.45235e-11	2.66414e-07	1	2.01039e-17	1.94384e-06	2.81444e-06	2
force-save-2023.07.02-15.33.29.558.jpk-force	0	-5.40000e-06	-5.40000e-06	4.04079e-09	-9.90758e-06	7.48485e-06	1.12318e-09	-1.12318e-09	2.09485e-06	0	4.78512e-16	5.96529e-07	2.13205e-06	3
force-save-2023.07.02-15.33.48.944.jpk-force	0	-5.40000e-06	-5.40000e-06	4.08325e-09	-3.02498e-05	8.04537e-06	3.41777e-11	-3.41777e-11	4.60821e-07	0	2.11247e-18	3.33819e-07	4.89284e-07	0
force-save-2023.07.02-15.34.01.043.jpk-force	0	-5.40000e-06	-5.40000e-06	3.88608e-09	-1.84362e-05	8.04491e-06	3.61193e-11	-3.61193e-11	2.30842e-06	0	5.96060e-18	2.14622e-06	2.52046e-06	0
force-save-2023.07.02-16.45.43.740.jpk-force	0	-5.40000e-06	-5.40000e-06	3.84901e-09	-8.55789e-06	7.69047e-06	3.18903e-11	-3.18903e-11	5.07517e-07	0	1.52805e-18	4.17460e-07	5.31055e-07	0
force-save-2023.07.02-16.45.55.506.jpk-force	0	-5.40000e-06	-5.40000e-06	3.99087e-09	-2.45270e-05	7.84425e-06	3.30652e-11	-3.30652e-11	5.08527e-07	0	1.79379e-18	7.46701e-07	8.85069e-07	0
force-save-2023.07.02-16.46.01.623.jpk-force	0	-5.40000e-06	-5.40000e-06	3.84520e-09	-9.13346e-06	7.92449e-06	2.56521e-11	-2.56521e-11	1.05897e-06	0	8.05507e-19	3.12012e-06	3.18993e-06	0
force-save-2023.07.02-16.46.07.729.jpk-force	0	-5.40000e-06	-5.40000e-06	4.05189e-09	-3.30953e-05	8.24382e-06	2.76682e-11	-2.76682e-11	8.62363e-07	0	1.15460e-18	7.84333e-07	8.79562e-07	0
force-save-2023.07.02-16.46.13.858.jpk-force	0	-5.40000e-06	-5.40000e-06	3.86932e-09	-1.43527e-05	8.24247e-06	3.01205e-11	-3.01205e-11	8.16739e-07	0	1.30032e-18	2.74185e-06	2.87507e-06	0
force-save-2023.07.02-16.46.17.088.jpk-force	1	-4.20000e-06	-5.40000e-06	3.85338e-09	-1.39019e-05	8.09902e-06	2.91733e-11	-2.91733e-11	7.10384e-07	0	6.51126e-19	7.17218e-07	7.98196e-07	0
force-save-2023.07.02-16.47.38.900.jpk-force	1	-4.20000e-06	-5.40000e-06	3.74944e-09	-1.56814e-05	8.36860e-06	3.11545e-11	-3.11545e-11	3.25436e-06	0	2.37957e-18	3.15586e-06	3.37548e-06	0
force-save-2023.07.02-16.47.50.445.jpk-force	1	-4.20000e-06	-5.40000e-06	3.66615e-09	-1.16461e-05	8.35737e-06	1.08261e-10	-1.08261e-10	4.26938e-07	0	7.33919e-18	2.52331e-07	4.35537e-07	1
force-save-2023.07.02-16.48.03.188.jpk-force	1	-4.20000e-06	-5.40000e-06	3.58439e-09	-7.92640e-06	7.79875e-06	2.83378e-11	-2.83378e-11	1.79991e-06	0	1.32426e-18	1.32860e-06	1.45825e-06	0
force-save-2023.07.02-16.48.09.469.jpk-force	1	-4.20000e-06	-5.40000e-06	3.60232e-09	-1.19819e-05	7.70293e-06	2.65090e-11	-2.65090e-11	1.82676e-06	0	9.83792e-19	1.76288e-06	1.87289e-06	0
force-save-2023.07.02-16.48.12.721.jpk-force	2	-3.00000e-06	-5.40000e-06	3.42262e-09	3.37463e-06	7.63686e-06	1.36145e-10	-1.36145e-10	1.04031e-06	0	3.30826e-17	5.10575e-07	1.05542e-06	1
force-save-2023.07.02-16.48.21.884.jpk-force	2	-3.00000e-06	-5.40000e-06	3.62544e-09	-1.87195e-05	7.66262e-06	2.51974e-11	-2.51974e-11	1.00651e-06	0	7.06331e-19	2.68890e-06	2.78153e-06	0
force-save-2023.07.02-16.48.28.060.jpk-force	2	-3.00000e-06	-5.40000e-06	3.60432e-09	-1.81692e-05	7.84233e-06	3.19506e-11	-3.19506e-11	7.28011e-07	0	9.03447e-19	6.71743e-07	7.36307e-07	0
force-save-2023.07.02-16.48.34.162.jpk-force	2	-3.00000e-06	-5.40000e-06	3.61096e-09	-2.13365e-05	7.78070e-06	2.94062e-11	-2.94062e-11	3.00757e-06	0	1.92108e-18	3.18847e-07	4.65856e-07	0
force-save-2023.07.02-16.48.40.274.jpk-force	2	-3.00000e-06	-5.40000e-06	3.58376e-09	-1.75810e-05	8.10195e-06	2.61214e-11	-2.61214e-11	2.96482e-06	0	1.05268e-18	2.87494e-06	2.99317e-06	0
force-save-2023.07.02-16.48.43.497.jpk-force	3	-1.80000e-06	-5.40000e-06	3.66500e-09	-2.77964e-05	8.14309e-06	3.39903e-11	-3.39903e-11	2.29897e-06	0	2.92248e-18	2.13611e-06	2.31988e-06	0
force-save-2023.07.02-16.48.52.308.jpk-force	3	-1.80000e-06	-5.40000e-06	3.66818e-09	-3.02470e-05	8.66220e-06	2.55462e-11	-2.55462e-11	3.25240e-06	0	4.81141e-19	3.20859e-06	3.25789e-06	0
force-save-2023.07.02-16.49.04.471.jpk-force	3	-1.80000e-06	-5.40000e-06	3.73891e-09	-4.01823e-05	8.87800e-06	5.37165e-11	-5.37165e-11	2.87113e-06	0	2.31668e-17	2.00985e-06	3.17211e-06	1
force-save-2023.07.02-16.49.13.886.jpk-force	4	-6.00000e-07	-5.40000e-06	3.60107e-09	-3.01928e-05	8.98428e-06	3.66715e-11	-3.66715e-11	7.86573e-07	0	1.69553e-18	3.79226e-07	5.05353e-07	0
force-save-2023.07.02-16.49.23.152.jpk-force	4	-6.00000e-07	-5.40000e-06	3.49184e-09	-1.84990e-05	9.04213e-06	3.28289e-11	-3.28289e-11	3.34743e-06	0	3.16201e-18	3.12899e-06	3.35502e-06	0
force-save-2023.07.02-16.49.29.378.jpk-force	4	-6.00000e-07	-5.40000e-06	3.49390e-09	-2.55752e-05	9.16197e-06	2.76640e-11	-2.76640e-11	3.07141e-06	0	7.98330e-19	1.68350e-06	1.75194e-06	0
force-save-2023.07.02-16.49.35.556.jpk-force	4	-6.00000e-07	-5.40000e-06	3.38788e-09	-1.25939e-05	9.03224e-06	4.01475e-11	-4.01475e-11	3.34492e-06	0	6.07376e-18	3.11205e-06	3.42240e-06	0
force-save-2023.07.02-16.49.41.829.jpk-force	4	-6.00000e-07	-5.40000e-06	3.44792e-09	-2.05494e-05	9.11572e-06	3.55224e-11	-3.55224e-11	3.26097e-06	0	5.69209e-18	2.97014e-06	3.28728e-06	0
force-save-2023.07.02-16.49.54.365.jpk-force	5	6.00000e-07	-5.40000e-06	3.39084e-09	-1.75713e-05	9.10917e-06	6.40658e-11	-6.40658e-11	9.64755e-07	0	1.77666e-17	4.64913e-07	1.05498e-06	1
force-save-2023.07.02-16.50.00.622.jpk-force	5	6.00000e-07	-5.40000e-06	3.44250e-09	-2.38458e-05	9.00537e-06	3.07474e-11	-3.07474e-11	2.99511e-06	0	5.16507e-18	2.88738e-06	3.25554e-06	0
force-save-2023.07.02-16.50.06.958.jpk-force	5	6.00000e-07	-5.40000e-06	3.29936e-09	-1.14176e-05	8.95025e-06	3.11624e-11	-3.11624e-11	3.04687e-06	0	3.16573e-18	2.60553e-06	2.90651e-06	0
force-save-2023.07.02-16.50.13.298.jpk-force	5	6.00000e-07	-5.40000e-06	3.34453e-09	-1.78042e-05	8.60928e-06	2.76955e-11	-2.76955e-11	1.94666e-06	0	2.31884e-18	3.00883e-06	3.22884e-06	0
force-save-2023.07.02-16.50.16.527.jpk-force	6	1.80000e-06	-5.40000e-06	3.29925e-09	-1.41966e-05	8.29807e-06	2.65354e-11	-2.65354e-11	3.05260e-06	0	2.04107e-19	3.04046e-06	3.06935e-06	0
force-save-2023.07.02-16.50.26.092.jpk-force	6	1.80000e-06	-5.40000e-06	3.29012e-09	-1.64208e-05	8.03115e-06	2.59272e-11	-2.59272e-11	1.09278e-06	0	5.67735e-19	1.02554e-06	1.09425e-06	0
force-save-2023.07.02-16.50.32.276.jpk-force	6	1.80000e-06	-5.40000e-06	3.21210e-09	-8.81245e-06	8.18166e-06	2.78123e-11	-2.78123e-11	6.34578e-07	0	5.09833e-19	1.01111e-06	1.07297e-06	0
force-save-2023.07.02-16.50.38.329.jpk-force	6	1.80000e-06	-5.40000e-06	3.34655e-09	-2.03183e-05	8.21981e-06	3.36243e-11	-3.36243e-11	4.07424e-07	0	1.28227e-18	7.32469e-07	8.39736e-07	0
force-save-2023.07.02-16.50.44.444.jpk-force	6	1.80000e-06	-5.40000e-06	3.22421e-09	-1.39438e-05	8.66516e-06	2.92831e-11	-2.92831e-11	3.01136e-06	0	2.00919e-18	2.93226e-06	3.10565e-06	0
force-save-2023.07.02-16.50.47.671.jpk-force	7	3.00000e-06	-5.40000e-06	3.12408e-09	-4.50703e-06	8.97504e-06	3.16525e-11	-3.16525e-11	2.84864e-06	0	5.18463e-18	2.65374e-06	3.00011e-06	0
force-save-2023.07.02-16.50.56.626.jpk-force	7	3.00000e-06	-5.40000e-06	3.20142e-09	-1.55742e-05	9.05548e-06	2.91229e-11	-2.91229e-11	3.13147e-06	0	2.09847e-18	3.00548e-06	3.16192e-06	0
force-save-2023.07.02-16.51.02.704.jpk-force	7	3.00000e-06	-5.40000e-06	3.08377e-09	-6.56083e-06	9.71102e-06	2.06617e-11	-2.06617e-11	1.10768e-06	0	3.26715e-19	2.22564e-06	2.27117e-06	0
force-save-2023.07.02-16.51.08.841.jpk-force	7	3.00000e-06	-5.40000e-06	3.20667e-09	-1.61905e-05	9.43393e-06	2.36955e-11	-2.36955e-11	1.73458e-06	0	6.04041e-19	1.15281e-06	1.22208e-06	0
force-save-2023.07.02-16.51.14.990.jpk-force	7	3.00000e-06	-5.40000e-06	3.18933e-09	-1.89871e-05	9.53334e-06	2.70253e-11	-2.70253e-11	2.97047e-06	0	2.47063e-18	2.90096e-06	3.14206e-06	0
force-save-2023.07.02-16.51.18.210.jpk-force	8	4.20000e-06	-5.40000e-06	3.06928e-09	-1.07039e-05	9.46771e-06	2.30580e-11	-2.30580e-11	1.39592e-06	0	3.68610e-19	2.97691e-06	3.02934e-06	0
force-save-2023.07.02-16.51.27.296.jpk-force	8	4.20000e-06	-5.40000e-06	3.03653e-09	-6.72789e-06	9.68176e-06	2.77867e-11	-2.77867e-11	3.14492e-06	0	1.41143e-18	3.15696e-06	3.27886e-06	0
force-save-2023.07.02-16.51.33.380.jpk-force	8	4.20000e-06	-5.40000e-06	3.26748e-09	-2.94383e-05	9.74855e-06	2.97422e-11	-2.97422e-11	1.25714e-06	0	5.80924e-19	1.74692e-06	1.81159e-06	0
force-save-2023.07.02-16.51.39.437.jpk-force	8	4.20000e-06	-5.40000e-06	3.14088e-09	-1.67747e-05	1.01522e-05	2.40198e-11	-2.40198e-11	2.94606e-06	0	2.39338e-19	3.02776e-06	3.07497e-06	0
force-save-2023.07.02-16.51.45.482.jpk-force	8	4.20000e-06	-5.40000e-06	3.06636e-09	-1.24804e-05	1.08352e-05	2.51193e-11	-2.51193e-11	8.77550e-07	0	3.39318e-19	1.72904e-06	1.76919e-06	0
force-save-2023.07.02-16.51.48.716.jpk-force	9	5.40000e-06	-5.40000e-06	3.10139e-09	-1.63564e-05	1.05298e-05	3.21170e-10	-3.21170e-10	7.14889e-07	0	9.14976e-17	7.29587e-08	7.37297e-07	2
force-save-2023.07.02-16.51.57.823.jpk-force	9	5.40000e-06	-5.40000e-06	3.27613e-09	-2.96594e-05	1.05377e-05	7.22541e-10	-7.22541e-10	1.50715e-06	0	5.04614e-16	4.53321e-08	1.90495e-06	17
force-save-2023.07.02-16.52.04.029.jpk-force	9	5.40000e-06	-5.40000e-06	3.07981e-09	-1.57694e-05	1.08922e-05	5.69139e-10	-5.69139e-10	2.39659e-06	0	1.87665e-16	1.71148e-06	2.56136e-06	6
force-save-2023.07.02-16.52.10.245.jpk-force	9	5.40000e-06	-5.40000e-06	3.08333e-09	-1.78488e-05	1.11513e-05	2.14648e-11	-2.14648e-11	8.00788e-07	0	1.51431e-19	1.23569e-06	1.25910e-06	0
force-save-2023.07.02-16.52.16.541.jpk-force	9	5.40000e-06	-5.40000e-06	3.06286e-09	-1.77757e-05	1.08714e-05	2.38975e-11	-2.38975e-11	2.42327e-06	0	1.20465e-18	2.33147e-06	2.47102e-06	0
force-save-2023.07.02-16.52.19.764.jpk-force	10	5.40000e-06	-4.20000e-06	3.06567e-09	-1.86604e-05	1.06825e-05	2.50056e-11	-2.50056e-11	3.11233e-06	0	5.30575e-19	3.12127e-06	3.17726e-06	0
