Adhesion [pN],Area [aJ]
74.5235,20.103899999999996
1123.18,478.51199999999994
108.26100000000001,7.339189999999999
136.145,33.08259999999999
53.716499999999996,23.166799999999995
64.0658,17.766599999999997
321.17,91.49759999999999
722.5409999999999,504.6139999999999
569.1389999999999,187.66499999999996
63.1601,11.593399999999999
302.40000000000003,51.42159999999999
582.39,269.09499999999997
49.6375,11.712799999999998
639.0340000000001,129.44899999999998
75.96470000000001,18.363999999999997
98.9178,20.642599999999998
472.042,51.889399999999995
165.356,79.04409999999999
528.1469999999999,174.18799999999996
258.77500000000003,104.11099999999999
537.071,248.2
180.18800000000002,67.16229999999999
226.65200000000002,193.79299999999998
937.3720000000001,612.203
91.1224,52.922999999999995
482.91499999999996,199.164
113.703,16.161599999999996
155.871,121.55099999999997
40.3723,5.73706
300.933,141.85799999999998
77.3036,48.53359999999999
42.979899999999994,10.897299999999998
58.167199999999994,31.583899999999996
123.47699999999999,29.503799999999995
494.427,564.8589999999999
109.131,28.8422
725.6220000000001,252.59399999999997
674.814,199.19299999999996
46.291199999999996,10.582799999999999
41.7154,13.194399999999998
289.432,81.31279999999998
132.108,16.711599999999997
941.31,422.816
300.199,75.05539999999999
549.9879999999999,219.634
101.14399999999999,25.701699999999995
136.824,30.0156
42.4382,3.8187699999999998
80.917,17.1631
414.62600000000003,302.20199999999994
39.7703,5.3956
214.728,86.89
38.5715,1.99203
44.6036,7.64126
