Filename	Index	X Min [m]	X Max [m]	Contour Length [m]	Bending Length [m]	Stretch Modulus	Residual RMS [N]	Breaking Force [N]	Critical Loading Rate [N/s]
force-save-2023.07.02-15.45.18.312.jpk-force	0	7.60491e-08	7.55417e-07	9.69405e-07	1.36762e-10		9.05592e-12	1.70358e-10	2.01281e-09
force-save-2023.07.02-15.47.36.607.jpk-force	0	3.02028e-08	3.25285e-06	3.56816e-06	8.60580e-10		1.06879e-11	1.56297e-10	1.32403e-09
force-save-2023.07.02-15.47.36.607.jpk-force	1	3.28920e-06	3.58290e-06	3.90874e-06	5.09773e-10		1.07077e-11	2.95882e-10	2.38298e-09
force-save-2023.07.02-15.48.17.889.jpk-force	0	1.43255e-10	4.11277e-08	1.76985e-07	1.98115e-11		8.47679e-12	8.44939e-11	3.25029e-09
force-save-2023.07.02-15.48.21.457.jpk-force	0	2.35659e-07	2.34250e-06	3278.26	6.09864e-20		1.87776e-11	7.31804e-11	4.35814e-11
force-save-2023.07.02-15.48.21.457.jpk-force	1	2.40105e-06	2.79316e-06	3.45846e-06	1.23188e-10		1.14171e-11	2.44380e-10	9.44743e-10
force-save-2023.07.02-15.48.21.457.jpk-force	2	2.82346e-06	2.98293e-06	4.30499e-06	7.58206e-11		8.85279e-12	1.67964e-10	3.19735e-10
force-save-2023.07.02-15.48.21.457.jpk-force	3	3.01296e-06	3.12906e-06	4.48926e-06	9.13863e-11		7.26574e-12	1.42800e-10	2.64562e-10
force-save-2023.07.02-15.48.31.616.jpk-force	0	2.92225e-07	2.86137e-06	3.10354e-06	1.47380e-09		1.24022e-11	1.16558e-10	1.29298e-09
force-save-2023.07.02-15.48.31.616.jpk-force	1	2.96959e-06	3.44856e-06	4.48437e-06	1.07250e-10		1.07700e-11	1.99768e-10	4.92393e-10
force-save-2023.07.02-15.49.05.840.jpk-force	0	7.59177e-08	7.57895e-07	1.09052e-06	2.21945e-10		9.42215e-12	5.80913e-11	4.41185e-10
force-save-2023.07.02-15.49.30.056.jpk-force	0	4.21737e-07	4.12720e-06	4.59302e-06	8.79308e-10		9.43859e-12	1.16819e-10	6.88439e-10
force-save-2023.07.02-15.50.14.519.jpk-force	0	3.77242e-07	3.76691e-06	4.53701e-06	8.85366e-11		2.57797e-11	4.30423e-10	1.45614e-09
force-save-2023.07.02-15.51.01.905.jpk-force	0	3.75504e-07	3.75111e-06	21.4969	7.86793e-15		8.36142e-12	1.36941e-13	5.15391e-14
force-save-2023.07.02-15.51.08.754.jpk-force	0	2.80227e-09	2.14381e-08	3.12662e-08	2.97999e-10		1.02014e-11	4.09686e-11	8.96123e-09
force-save-2023.07.02-15.51.57.011.jpk-force	0	4.08577e-08	3.86146e-07	5.97966e-07	1.34219e-10		1.01034e-11	7.32407e-11	8.70948e-10
force-save-2023.07.02-15.52.03.905.jpk-force	0	1.19666e-07	1.19868e-06	5975.14	1.01644e-20		2.07011e-11	1.30106e-10	1.52086e-10
force-save-2023.07.02-15.53.25.850.jpk-force	0	1.44053e-07	1.40789e-06	1.90631e-06	9.50550e-11		1.20949e-11	1.79526e-10	9.31623e-10
force-save-2023.07.02-15.55.11.693.jpk-force	0	1.48986e-07	1.47123e-06	11742.6	8.47033e-21		1.03786e-11	9.21897e-11	9.23969e-11
force-save-2023.07.02-15.57.05.553.jpk-force	0	9.60312e-08	9.43132e-07	1.06497e-06	1.14408e-09		1.05759e-11	7.10082e-11	1.60966e-09
force-save-2023.07.02-15.57.12.431.jpk-force	0	4.27720e-08	4.14837e-07	4.80794e-07	1.03158e-09		1.05066e-11	5.54554e-11	2.26915e-09
force-save-2023.07.02-15.58.21.366.jpk-force	0	6.83505e-09	5.38883e-08	6.67050e-08	1.11361e-09		9.43337e-12	2.70936e-11	5.25905e-09
force-save-2023.07.02-15.58.21.366.jpk-force	1	8.16382e-08	2.62330e-07	3.34541e-07	4.55851e-10		9.50974e-12	5.32768e-11	1.93089e-09
force-save-2023.07.02-15.58.48.747.jpk-force	0	1.21268e-07	1.20529e-06	1.43692e-06	6.08808e-10		1.15464e-11	6.90320e-11	8.20640e-10
force-save-2023.07.02-15.59.08.818.jpk-force	0	7.62686e-08	7.62345e-07	8.48127e-07	1.21140e-09		1.29161e-11	8.52477e-11	2.76044e-09
force-save-2023.07.02-15.59.12.381.jpk-force	0	3.03663e-07	3.03081e-06	3.28478e-06	9.39074e-10		1.29761e-11	1.86271e-10	2.08164e-09
force-save-2023.07.02-16.02.27.331.jpk-force	0	8.51512e-09	5.64387e-08	1.28846e-07	1.11074e-10		7.77109e-12	3.63060e-11	1.10516e-09
force-save-2023.07.02-16.02.39.238.jpk-force	0	1.06317e-08	9.12262e-08	1.37941e-07	3.05410e-10		7.64093e-12	3.49246e-11	1.34729e-09
force-save-2023.07.02-16.02.45.179.jpk-force	0	1.48266e-08	1.39026e-07	1.79510e-07	5.95350e-10		8.99765e-12	3.76117e-11	1.68249e-09
force-save-2023.07.02-16.02.48.731.jpk-force	0	1.26044e-07	1.20751e-06	9520.11	6.77626e-21		1.80542e-11	1.21159e-10	1.05238e-10
force-save-2023.07.02-16.03.38.334.jpk-force	0	9.38177e-08	7.69242e-07	4142.97	8.47033e-21		1.44897e-11	1.27358e-10	1.56366e-10
force-save-2023.07.02-16.04.16.380.jpk-force	0	1.99578e-08	1.89554e-07	2.66571e-07	1.80386e-10		1.06888e-11	7.88672e-11	2.54842e-09
force-save-2023.07.02-16.04.34.989.jpk-force	0	6.61874e-08	6.51038e-07	8.61797e-07	1.65024e-10		1.59495e-11	1.16876e-10	1.42167e-09
force-save-2023.07.02-16.10.37.163.jpk-force	0	4.79658e-09	3.96552e-08	30.6117	1.32137e-19		8.06075e-12	6.03014e-11	2.02851e-09
force-save-2023.07.02-16.14.02.634.jpk-force	0	5.43432e-09	1.92112e-08	2.87336e-08	9.87640e-11		1.35223e-11	1.12321e-10	1.93761e-08
force-save-2023.07.02-16.14.02.634.jpk-force	1	4.14157e-08	5.93471e-08	8.27869e-08	6.46126e-11		1.02743e-11	2.28426e-10	1.70780e-08
force-save-2023.07.02-16.14.02.634.jpk-force	2	6.48868e-08	7.93059e-08	1.37487e-07	1.97139e-11		1.02863e-11	3.59745e-10	1.24501e-08
force-save-2023.07.02-16.15.29.678.jpk-force	0	7.53211e-11	8.07915e-09	2.36445e-08	4.21021e-11		1.42188e-11	6.53671e-11	1.23594e-08
force-save-2023.07.02-16.15.35.935.jpk-force	0	1.43327e-10	1.86597e-08	3.37990e-07	1.52825e-12		1.44847e-11	2.29701e-10	1.34073e-08
force-save-2023.07.02-16.15.39.154.jpk-force	0	1.76891e-11	8.23477e-09	4.03503e-08	2.69629e-11		9.21797e-12	5.32395e-11	8.73882e-09
force-save-2023.07.02-16.15.39.154.jpk-force	1	2.48157e-08	1.29900e-07	1.41521e-07	3.37654e-09		1.03159e-11	4.60174e-11	8.98430e-09
force-save-2023.07.02-16.16.26.363.jpk-force	0	3.98660e-11	1.51111e-08	1.56799e-08	1.72483e-08		1.24836e-11	4.55180e-11	4.37043e-08
force-save-2023.07.02-16.16.38.814.jpk-force	0	1.57593e-09	8.42264e-09	1.20609e-08	2.21311e-10		9.58602e-12	5.94401e-11	2.32007e-08
force-save-2023.07.02-16.16.51.529.jpk-force	0	4.80606e-11	1.36035e-08	1.84217e-08	3.64675e-10		1.00734e-11	4.67656e-11	1.66402e-08
force-save-2023.07.02-16.16.57.750.jpk-force	0	2.50911e-09	2.32609e-08	2.75859e-08	1.45995e-09		9.66650e-12	3.03485e-11	1.35574e-08
force-save-2023.07.02-16.17.10.208.jpk-force	0	7.63620e-09	7.43983e-08	7.77932e-08	9.93606e-09		1.27045e-11	5.46757e-11	2.40688e-08
force-save-2023.07.02-16.17.13.438.jpk-force	0	1.51355e-07	1.51237e-06	2.29303e-06	6.55376e-11		1.64276e-11	1.61199e-10	4.97921e-10
