Filename,Index,X Min [m],X Max [m],Contour Length [nm],Bending Length [pm],Stretch Modulus,Residual RMS [pN],Breaking Force [pN],Critical Loading Rate [N/s]
force-save-2023.07.02-15.45.18.312.jpk-force,0,7.60491e-08,7.55417e-07,969.4049999999997,136.762,,9.055919999999999,170.358,2.01281e-09
force-save-2023.07.02-15.47.36.607.jpk-force,0,3.02028e-08,3.25285e-06,3568.16,860.58,,10.6879,156.297,1.32403e-09
force-save-2023.07.02-15.47.36.607.jpk-force,1,3.2892e-06,3.5829e-06,3908.7399999999993,509.773,,10.707699999999999,295.882,2.38298e-09
force-save-2023.07.02-15.48.21.457.jpk-force,1,2.40105e-06,2.79316e-06,3458.4599999999996,123.188,,11.417100000000001,244.38,9.44743e-10
force-save-2023.07.02-15.48.21.457.jpk-force,2,2.82346e-06,2.98293e-06,4304.989999999999,75.8206,,8.85279,167.964,3.19735e-10
force-save-2023.07.02-15.48.21.457.jpk-force,3,3.01296e-06,3.12906e-06,4489.259999999999,91.3863,,7.26574,142.79999999999998,2.64562e-10
force-save-2023.07.02-15.48.31.616.jpk-force,0,2.92225e-07,2.86137e-06,3103.5399999999995,1473.8,,12.4022,116.55799999999999,1.29298e-09
force-save-2023.07.02-15.48.31.616.jpk-force,1,2.96959e-06,3.44856e-06,4484.37,107.25,,10.77,199.768,4.92393e-10
force-save-2023.07.02-15.49.05.840.jpk-force,0,7.59177e-08,7.57895e-07,1090.5199999999998,221.945,,9.42215,58.0913,4.41185e-10
force-save-2023.07.02-15.49.30.056.jpk-force,0,4.21737e-07,4.1272e-06,4593.019999999999,879.308,,9.43859,116.819,6.88439e-10
force-save-2023.07.02-15.51.57.011.jpk-force,0,4.08577e-08,3.86146e-07,597.966,134.219,,10.1034,73.2407,8.70948e-10
force-save-2023.07.02-15.53.25.850.jpk-force,0,1.44053e-07,1.40789e-06,1906.3099999999997,95.055,,12.0949,179.52599999999998,9.31623e-10
force-save-2023.07.02-15.57.05.553.jpk-force,0,9.60312e-08,9.43132e-07,1064.9699999999998,1144.0800000000002,,10.5759,71.0082,1.60966e-09
force-save-2023.07.02-15.57.12.431.jpk-force,0,4.2772e-08,4.14837e-07,480.7939999999999,1031.5800000000002,,10.506599999999999,55.455400000000004,2.26915e-09
force-save-2023.07.02-15.58.21.366.jpk-force,1,8.16382e-08,2.6233e-07,334.54099999999994,455.851,,9.509739999999999,53.276799999999994,1.93089e-09
force-save-2023.07.02-15.58.48.747.jpk-force,0,1.21268e-07,1.20529e-06,1436.9199999999998,608.808,,11.5464,69.032,8.2064e-10
force-save-2023.07.02-15.59.08.818.jpk-force,0,7.62686e-08,7.62345e-07,848.1269999999998,1211.3999999999999,,12.9161,85.24770000000001,2.76044e-09
force-save-2023.07.02-15.59.12.381.jpk-force,0,3.03663e-07,3.03081e-06,3284.7799999999997,939.074,,12.976099999999999,186.27100000000002,2.08164e-09
force-save-2023.07.02-16.04.34.989.jpk-force,0,6.61874e-08,6.51038e-07,861.7969999999999,165.024,,15.949499999999999,116.876,1.42167e-09
force-save-2023.07.02-16.17.13.438.jpk-force,0,1.51355e-07,1.51237e-06,2293.0299999999997,65.5376,,16.427599999999998,161.19899999999998,4.97921e-10
force-save-2023.07.02-16.17.13.438.jpk-force,1,1.59273e-06,2.24718e-06,3836.6299999999997,28.790000000000003,,11.903,256.27,3.98752e-10
force-save-2023.07.02-16.19.17.903.jpk-force,0,2.00676e-07,1.99323e-06,2570.08,113.93,,15.1739,198.288,8.43001e-10
force-save-2023.07.02-16.19.17.903.jpk-force,1,2.00746e-06,2.02058e-06,2567.6499999999996,204.60799999999998,,5.6319300000000005,121.59899999999999,5.50541e-10
force-save-2023.07.02-16.21.06.916.jpk-force,0,1.51525e-07,1.51066e-06,2018.1599999999999,394.344,,7.94809,46.4722,2.21604e-10
force-save-2023.07.02-16.21.53.805.jpk-force,1,2.21371e-07,4.32525e-07,526.434,895.274,,11.084100000000001,38.7508,1.00457e-09
force-save-2023.07.02-16.22.40.007.jpk-force,3,9.60479e-08,1.13309e-07,382.24499999999995,28.1613,,8.393920000000001,80.60979999999999,1.21455e-09
force-save-2023.07.02-16.24.58.877.jpk-force,0,5.20993e-08,4.86973e-07,620.0039999999999,274.26,,10.7021,89.5411,1.62662e-09
force-save-2023.07.02-16.25.09.259.jpk-force,0,2.55038e-07,5.11871e-07,540.4049999999999,3039.38,,10.715300000000001,122.391,9.40004e-09
