Filename	Position Index	X Position	Y Position	Baseline Offset [N]	Baseline Slope [N/m]	Contact Point Offset [m]	Adhesion [N]	Minimum Value [N]	Minimum Position [m]	Filter Group	Area [J]	Lower Bound [m]	Upper Bound [m]	Fitted Segment Count
force-save-2023.07.02-15.43.43.889.jpk-force	0	-5.40000e-06	-5.40000e-06	9.59991e-10	-1.18981e-05	7.99090e-06	2.33546e-11	-2.33546e-11	2.85452e-06	0	2.17625e-19	2.65153e-06	2.69163e-06	0
force-save-2023.07.02-15.43.55.831.jpk-force	0	-5.40000e-06	-5.40000e-06	9.71722e-10	-1.82297e-05	7.92836e-06	2.94069e-11	-2.94069e-11	1.08025e-06	0	2.03777e-18	2.93449e-06	3.14957e-06	0
force-save-2023.07.02-15.44.02.712.jpk-force	0	-5.40000e-06	-5.40000e-06	8.51253e-10	-1.03201e-05	7.92422e-06	2.61638e-11	-2.61638e-11	2.65661e-06	0	5.98791e-19	1.81707e-06	1.88807e-06	0
force-save-2023.07.02-15.44.09.575.jpk-force	0	-5.40000e-06	-5.40000e-06	8.47540e-10	-1.41778e-05	7.87399e-06	3.02570e-11	-3.02570e-11	3.77090e-06	0	1.75054e-18	3.69342e-06	3.86195e-06	0
force-save-2023.07.02-15.44.16.464.jpk-force	0	-5.40000e-06	-5.40000e-06	8.21552e-10	-1.60338e-05	7.94878e-06	3.03532e-11	-3.03532e-11	4.09551e-06	0	9.17377e-19	4.00497e-06	4.09551e-06	0
force-save-2023.07.02-15.45.11.487.jpk-force	2	-3.00000e-06	-5.40000e-06	4.35171e-10	-1.58751e-05	7.94584e-06	3.02381e-11	-3.02381e-11	5.89338e-07	0	1.39566e-18	5.49372e-07	6.69024e-07	0
force-save-2023.07.02-15.45.18.312.jpk-force	2	-3.00000e-06	-5.40000e-06	3.38281e-10	-1.07550e-05	7.93098e-06	1.73551e-10	-1.73551e-10	7.55417e-07	0	2.78036e-17	2.49259e-07	7.68635e-07	1
force-save-2023.07.02-15.45.25.367.jpk-force	2	-3.00000e-06	-5.40000e-06	3.56499e-10	-1.66346e-05	7.94243e-06	3.37297e-11	-3.37297e-11	1.53494e-06	0	5.39327e-19	3.69011e-06	3.76407e-06	0
force-save-2023.07.02-15.45.28.919.jpk-force	3	-1.80000e-06	-5.40000e-06	2.83634e-10	-1.43521e-05	7.99229e-06	2.71412e-11	-2.71412e-11	6.30559e-07	0	3.10769e-19	9.55225e-07	9.91803e-07	0
force-save-2023.07.02-15.46.20.681.jpk-force	4	-6.00000e-07	-5.40000e-06	-2.57795e-11	-1.71541e-05	7.72685e-06	2.61615e-11	-2.61615e-11	8.97046e-07	0	9.51318e-19	3.34767e-06	3.45787e-06	0
force-save-2023.07.02-15.46.48.311.jpk-force	5	6.00000e-07	-5.40000e-06	-2.55979e-10	-1.12660e-05	7.45530e-06	2.65033e-11	-2.65033e-11	2.41487e-06	0	9.12345e-19	2.40783e-06	2.48929e-06	0
force-save-2023.07.02-15.46.55.202.jpk-force	5	6.00000e-07	-5.40000e-06	-2.79739e-10	-1.22883e-05	7.37167e-06	2.64165e-11	-2.64165e-11	3.29579e-07	0	2.37633e-19	3.77411e-06	3.82148e-06	0
force-save-2023.07.02-15.47.02.094.jpk-force	5	6.00000e-07	-5.40000e-06	-3.24675e-10	-1.28791e-05	7.40185e-06	2.63708e-11	-2.63708e-11	2.98029e-07	1	5.53229e-19	1.70601e-06	1.77838e-06	0
force-save-2023.07.02-15.47.08.989.jpk-force	5	6.00000e-07	-5.40000e-06	-3.55647e-10	-1.54144e-05	7.32476e-06	2.77906e-11	-2.77906e-11	3.41890e-06	0	1.44313e-18	3.29650e-06	3.45705e-06	0
force-save-2023.07.02-15.47.12.553.jpk-force	6	1.80000e-06	-5.40000e-06	-4.00045e-10	-1.56813e-05	7.31324e-06	2.59304e-11	-2.59304e-11	2.30463e-06	0	4.31233e-19	2.70905e-06	2.77157e-06	0
force-save-2023.07.02-15.47.22.795.jpk-force	6	1.80000e-06	-5.40000e-06	-4.45364e-10	-1.50924e-05	7.29052e-06	3.25673e-11	-3.25673e-11	5.59650e-07	0	2.07900e-18	3.51329e-06	3.73539e-06	0
force-save-2023.07.02-15.47.29.681.jpk-force	6	1.80000e-06	-5.40000e-06	-5.28903e-10	-1.15464e-05	7.31487e-06	2.88894e-11	-2.88894e-11	2.32664e-06	0	1.53888e-18	2.26222e-06	2.42683e-06	0
force-save-2023.07.02-15.47.36.607.jpk-force	6	1.80000e-06	-5.40000e-06	-5.38807e-10	-1.52899e-05	7.20615e-06	2.83062e-10	-2.83062e-10	3.58290e-06	0	9.04750e-17	2.38187e-06	3.59526e-06	2
force-save-2023.07.02-15.47.57.272.jpk-force	7	3.00000e-06	-5.40000e-06	-7.22006e-10	-9.86480e-06	7.05218e-06	3.09483e-11	-3.09483e-11	1.61478e-06	0	9.17364e-19	2.24435e-06	2.35667e-06	0
force-save-2023.07.02-15.48.11.023.jpk-force	7	3.00000e-06	-5.40000e-06	-7.79550e-10	-1.24506e-05	6.99782e-06	2.91623e-11	-2.91623e-11	4.53167e-07	0	3.41267e-19	1.10207e-06	1.13987e-06	0
force-save-2023.07.02-15.48.17.889.jpk-force	7	3.00000e-06	-5.40000e-06	-8.69522e-10	-8.62555e-06	6.83723e-06	1.08669e-10	-1.08669e-10	4.11277e-08	1	1.90076e-18	1.36319e-09	4.73217e-08	1
force-save-2023.07.02-15.48.21.457.jpk-force	8	4.20000e-06	-5.40000e-06	-7.06011e-10	-2.91053e-05	7.01429e-06	2.66538e-10	-2.66538e-10	2.79316e-06	0	2.18466e-16	6.82386e-08	3.18122e-06	4
