Filename,Index,X Min [m],X Max [m],Contour Length [nm],Bending Length [pm],Stretch Modulus,Residual RMS [pN],Breaking Force [pN],Critical Loading Rate [N/s]
force-save-2023.07.02-15.36.53.926.jpk-force,6,1.34249e-07,1.65219e-07,339.06999999999994,71.5499,,7.15463,68.36149999999999,1.11685e-09
force-save-2023.07.02-15.36.53.926.jpk-force,7,2.00664e-07,3.70606e-07,717.2389999999999,80.7886,,8.76881,68.12729999999999,5.44599e-10
force-save-2023.07.02-15.36.53.926.jpk-force,8,3.73989e-07,3.82985e-07,486.0569999999999,499.515,,5.27553,50.2471,1.26289e-09
force-save-2023.07.02-15.36.53.926.jpk-force,9,4.19366e-07,7.11742e-07,1008.8399999999999,181.802,,7.167409999999999,75.5834,6.50851e-10
force-save-2023.07.02-15.37.05.938.jpk-force,0,3.60991e-10,1.35766e-07,324.948,67.50460000000001,,6.9681500000000005,55.210100000000004,9.25942e-10
force-save-2023.07.02-15.37.05.938.jpk-force,1,1.77012e-07,5.27479e-07,586.8629999999999,835.268,,17.6492,123.52600000000001,5.23436e-09
force-save-2023.07.02-15.37.12.806.jpk-force,3,3.81825e-07,4.51788e-07,508.00199999999995,942.768,,6.01424,91.9349,4.18279e-09
force-save-2023.07.02-15.40.33.365.jpk-force,0,2.05053e-07,2.04349e-06,2120.6699999999996,3535.13,,14.769300000000001,220.562,7.15407e-09
force-save-2023.07.02-18.03.52.119.jpk-force,0,3.75677e-08,3.64801e-07,460.46899999999994,726.22,,6.96924,35.9026,8.494e-10
force-save-2023.07.02-18.05.37.749.jpk-force,0,1.92053e-07,1.87632e-06,2080.5699999999997,1795.35,,7.9300500000000005,60.9709,7.03474e-10
force-save-2023.07.02-18.05.54.608.jpk-force,2,2.25666e-07,2.35417e-07,400.707,24.723300000000002,,7.10815,300.824,3.80656e-09
force-save-2023.07.02-18.05.54.608.jpk-force,3,2.77341e-07,5.21588e-07,640.63,411.441,,11.703299999999999,78.0816,1.46201e-09
force-save-2023.07.02-18.06.41.059.jpk-force,0,1.93717e-12,3.18007e-07,565.178,22.878,,11.6076,291.445,2.55853e-09
force-save-2023.07.02-18.06.41.059.jpk-force,1,3.49653e-07,6.05858e-07,850.295,20.4149,,10.0932,703.244,5.62246e-09
force-save-2023.07.02-18.12.24.093.jpk-force,0,1.20387e-07,1.19746e-06,1356.27,821.768,,8.65878,94.5045,1.30115e-09
force-save-2023.07.02-18.14.34.440.jpk-force,0,1.04515e-07,1.01113e-06,1115.3799999999999,2991.94,,8.299439999999999,40.280699999999996,8.6692e-10
