Filename	Position Index	X Position	Y Position	Baseline Offset [N]	Baseline Slope [N/m]	Contact Point Offset [m]	Adhesion [N]	Minimum Value [N]	Minimum Position [m]	Filter Group	Area [J]	Lower Bound [m]	Upper Bound [m]	Fitted Segment Count
force-save-2023.07.02-15.36.53.926.jpk-force	0	-5.40000e-06	-5.40000e-06	3.02997e-09	-1.01627e-05	7.21821e-06	3.08794e-10	-3.08794e-10	1.13022e-07	1	4.09281e-17	3.17065e-09	7.94368e-07	10
force-save-2023.07.02-15.37.05.938.jpk-force	0	-5.40000e-06	-5.40000e-06	2.99598e-09	-1.00443e-05	7.23068e-06	1.52238e-10	-1.52238e-10	5.27479e-07	0	2.07101e-17	2.57293e-08	6.99498e-07	2
force-save-2023.07.02-15.37.12.806.jpk-force	0	-5.40000e-06	-5.40000e-06	2.93869e-09	-6.54430e-06	7.22768e-06	1.09117e-10	-1.09117e-10	4.51788e-07	0	2.36067e-17	5.58406e-08	8.37548e-07	4
force-save-2023.07.02-15.37.19.694.jpk-force	0	-5.40000e-06	-5.40000e-06	2.95369e-09	-1.08238e-05	7.22634e-06	7.87480e-11	-7.87480e-11	6.51028e-08	1	4.06297e-18	1.65864e-07	3.48005e-07	2
force-save-2023.07.02-15.37.38.180.jpk-force	0	-5.40000e-06	-5.40000e-06	2.84801e-09	-9.48784e-06	7.17815e-06	1.15649e-10	-1.15649e-10	8.17589e-08	1	1.56334e-17	3.01901e-07	1.00796e-06	3
force-save-2023.07.02-15.38.03.924.jpk-force	0	-5.40000e-06	-5.40000e-06	2.75687e-09	-1.21981e-05	7.26372e-06	5.36672e-11	-5.36672e-11	2.62064e-08	1	7.92008e-19	4.68216e-09	4.55953e-08	1
force-save-2023.07.02-15.38.53.762.jpk-force	0	-5.40000e-06	-5.40000e-06	2.46703e-09	-1.22905e-05	7.50832e-06	2.26740e-11	-2.26740e-11	1.94377e-06	0	1.26942e-18	4.10097e-06	4.23841e-06	0
force-save-2023.07.02-15.40.33.365.jpk-force	1	-4.20000e-06	-5.40000e-06	1.98297e-09	-8.34535e-06	7.92538e-06	2.05193e-10	-2.05193e-10	2.04349e-06	0	1.67237e-17	1.85696e-06	2.06530e-06	1
force-save-2023.07.02-15.40.58.924.jpk-force	1	-4.20000e-06	-5.40000e-06	1.94856e-09	-1.15154e-05	7.90928e-06	2.79123e-11	-2.79123e-11	4.15325e-07	0	1.79041e-19	4.10038e-07	4.32744e-07	0
force-save-2023.07.02-15.41.05.801.jpk-force	1	-4.20000e-06	-5.40000e-06	2.01472e-09	-2.15635e-05	7.88256e-06	3.45340e-11	-3.45340e-11	4.80345e-07	0	3.00846e-18	3.49115e-07	5.52485e-07	0
